dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 8
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
fold_patch_size: 1_1_2_3_3_4_5_6_8_11
max_patch_size: 16
codebook_size: 4096
codebook_dim: 32
z_channels: 256
factor: 16
sigma: 0.5
gamma_1: 0.2
gamma_2: 0.1
lambd: 0.2
VQ: wasserstein_vq
resume: False
use_multiscale: True
fold_token: False
use_pq: False
epochs: 1
eval_epochs: 1
lr: 0.001
dropout: 0.0
seed: 3407
warmup_iters: 2000
decay_iters: 10000
stage: substitution
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant/VAR/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant/VAR/checkpoint/Substitution/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant/VAR/results/Substitution/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant/VAR/saver/Substitution/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant/VAR/reconstruction/Substitution/ImageNet
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 1
batch_size: 64
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
fold_token_size: (1, 1, 2, 3, 3, 4, 5, 6, 8, 11)
data_pre: ImageNet_256
model_pre: model_4096_32_16
loss_pre: loss_0.2_0.1
training_pre: wasserstein_vq_substitution_1_True_False_False
saver_name_pre: wasserstein_vq_substitution_1_True_False_False_ImageNet_256_model_4096_32_16_loss_0.2_0.1
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
Train Epoch: [1/1] Iters:[740/20018] vq_loss 0.9260, rec_loss 0.0473, wasserstein_loss 0.0514, quant_error 0.3460, codebook_utilization 0.9997, codebook_perplexity 2388.1751,
Train Epoch: [1/1] Iters:[750/20018] vq_loss 0.9249, rec_loss 0.0468, wasserstein_loss 0.0513, quant_error 0.3454, codebook_utilization 0.9997, codebook_perplexity 2382.6054,
Train Epoch: [1/1] Iters:[760/20018] vq_loss 0.9245, rec_loss 0.0463, wasserstein_loss 0.0516, quant_error 0.3450, codebook_utilization 0.9997, codebook_perplexity 2415.0482,
Train Epoch: [1/1] Iters:[770/20018] vq_loss 0.9162, rec_loss 0.0459, wasserstein_loss 0.0522, quant_error 0.3413, codebook_utilization 0.9997, codebook_perplexity 2409.2285,
Train Epoch: [1/1] Iters:[780/20018] vq_loss 0.9188, rec_loss 0.0459, wasserstein_loss 0.0496, quant_error 0.3426, codebook_utilization 0.9998, codebook_perplexity 2438.1304,
Train Epoch: [1/1] Iters:[790/20018] vq_loss 0.9233, rec_loss 0.0458, wasserstein_loss 0.0486, quant_error 0.3442, codebook_utilization 0.9997, codebook_perplexity 2462.0451,
Train Epoch: [1/1] Iters:[800/20018] vq_loss 0.9257, rec_loss 0.0457, wasserstein_loss 0.0514, quant_error 0.3447, codebook_utilization 0.9997, codebook_perplexity 2459.8282,
Train Epoch: [1/1] Iters:[810/20018] vq_loss 0.9332, rec_loss 0.0462, wasserstein_loss 0.0526, quant_error 0.3475, codebook_utilization 0.9997, codebook_perplexity 2459.0255,
Train Epoch: [1/1] Iters:[820/20018] vq_loss 0.9343, rec_loss 0.0459, wasserstein_loss 0.0572, quant_error 0.3471, codebook_utilization 0.9997, codebook_perplexity 2460.5105,
Train Epoch: [1/1] Iters:[830/20018] vq_loss 0.9331, rec_loss 0.0456, wasserstein_loss 0.0573, quant_error 0.3464, codebook_utilization 0.9997, codebook_perplexity 2449.2512,
Train Epoch: [1/1] Iters:[840/20018] vq_loss 0.9249, rec_loss 0.0454, wasserstein_loss 0.0575, quant_error 0.3428, codebook_utilization 0.9997, codebook_perplexity 2478.2407,
Train Epoch: [1/1] Iters:[850/20018] vq_loss 0.9181, rec_loss 0.0450, wasserstein_loss 0.0560, quant_error 0.3400, codebook_utilization 0.9997, codebook_perplexity 2496.4121,
Train Epoch: [1/1] Iters:[860/20018] vq_loss 0.9102, rec_loss 0.0447, wasserstein_loss 0.0549, quant_error 0.3367, codebook_utilization 0.9997, codebook_perplexity 2503.8633,
Train Epoch: [1/1] Iters:[870/20018] vq_loss 0.9108, rec_loss 0.0446, wasserstein_loss 0.0504, quant_error 0.3374, codebook_utilization 0.9997, codebook_perplexity 2520.5741,
Train Epoch: [1/1] Iters:[880/20018] vq_loss 0.9094, rec_loss 0.0447, wasserstein_loss 0.0503, quant_error 0.3365, codebook_utilization 0.9997, codebook_perplexity 2543.5370,
Train Epoch: [1/1] Iters:[890/20018] vq_loss 0.9058, rec_loss 0.0440, wasserstein_loss 0.0503, quant_error 0.3349, codebook_utilization 0.9998, codebook_perplexity 2538.3022,
