dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 8
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
fold_patch_size: 1_1_2_3_3_4_5_6_8_11
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 4096
codebook_dim: 32
z_channels: 256
factor: 16
sigma: 0.5
gamma_1: 0.5
gamma_2: 0.1
lambd: 0.2
VQ: vanilla_vq
resume: False
use_multiscale: True
fold_token: False
use_pq: False
epochs: 1
eval_epochs: 1
lr: 0.001
dropout: 0.0
seed: 3407
warmup_iters: 2000
decay_iters: 10000
stage: substitution
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant/VAR/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant/VAR/checkpoint/Substitution/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant/VAR/results/Substitution/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant/VAR/saver/Substitution/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant/VAR/reconstruction/Substitution/ImageNet
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 1
batch_size: 64
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
fold_token_size: (1, 1, 2, 3, 3, 4, 5, 6, 8, 11)
data_pre: ImageNet_256
model_pre: model_4096_32_16
loss_pre: loss_0.5_0.1
training_pre: vanilla_vq_substitution_1_True_False_False
saver_name_pre: vanilla_vq_substitution_1_True_False_False_ImageNet_256_model_4096_32_16_loss_0.5_0.1
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.001000
Train Epoch: [1/1] Iters:[1110/20018] vq_loss 0.5158, rec_loss 0.0716, quant_error 0.3856, codebook_utilization 0.4340, codebook_perplexity 36.6212,
Train Epoch: [1/1] Iters:[1120/20018] vq_loss 0.5202, rec_loss 0.0732, quant_error 0.3892, codebook_utilization 0.4396, codebook_perplexity 34.6379,
Train Epoch: [1/1] Iters:[1130/20018] vq_loss 0.5178, rec_loss 0.0743, quant_error 0.3882, codebook_utilization 0.4354, codebook_perplexity 32.1632,
Train Epoch: [1/1] Iters:[1140/20018] vq_loss 0.5213, rec_loss 0.0745, quant_error 0.3913, codebook_utilization 0.4379, codebook_perplexity 30.7397,
Train Epoch: [1/1] Iters:[1150/20018] vq_loss 0.5249, rec_loss 0.0754, quant_error 0.3944, codebook_utilization 0.4412, codebook_perplexity 29.3744,
Train Epoch: [1/1] Iters:[1160/20018] vq_loss 0.5294, rec_loss 0.0777, quant_error 0.3980, codebook_utilization 0.4469, codebook_perplexity 28.2253,
Train Epoch: [1/1] Iters:[1170/20018] vq_loss 0.5296, rec_loss 0.0782, quant_error 0.3989, codebook_utilization 0.4465, codebook_perplexity 26.9128,
Train Epoch: [1/1] Iters:[1180/20018] vq_loss 0.5334, rec_loss 0.0791, quant_error 0.4020, codebook_utilization 0.4511, codebook_perplexity 25.9352,
Train Epoch: [1/1] Iters:[1190/20018] vq_loss 0.5319, rec_loss 0.0801, quant_error 0.4014, codebook_utilization 0.4500, codebook_perplexity 24.7458,
Train Epoch: [1/1] Iters:[1200/20018] vq_loss 0.5308, rec_loss 0.0814, quant_error 0.4012, codebook_utilization 0.4487, codebook_perplexity 23.6137,
Train Epoch: [1/1] Iters:[1210/20018] vq_loss 0.5304, rec_loss 0.0811, quant_error 0.4014, codebook_utilization 0.4485, codebook_perplexity 22.7525,
Train Epoch: [1/1] Iters:[1220/20018] vq_loss 0.5313, rec_loss 0.0819, quant_error 0.4023, codebook_utilization 0.4516, codebook_perplexity 21.9483,
Train Epoch: [1/1] Iters:[1230/20018] vq_loss 0.5321, rec_loss 0.0824, quant_error 0.4032, codebook_utilization 0.4527, codebook_perplexity 21.3075,
Train Epoch: [1/1] Iters:[1240/20018] vq_loss 0.5345, rec_loss 0.0830, quant_error 0.4052, codebook_utilization 0.4563, codebook_perplexity 20.8371,
Train Epoch: [1/1] Iters:[1250/20018] vq_loss 0.5340, rec_loss 0.0830, quant_error 0.4051, codebook_utilization 0.4567, codebook_perplexity 20.2793,
