dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 8
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
fold_patch_size: 1_1_2_3_3_4_5_6_8_11
max_patch_size: 16
codebook_size: 16384
codebook_dim: 16
z_channels: 256
factor: 16
sigma: 0.8
gamma_1: 0.2
gamma_2: 0.1
lambd: 0.2
VQ: wasserstein_vq
resume: False
use_multiscale: False
fold_token: False
use_pq: True
epochs: 1
eval_epochs: 1
lr: 0.001
dropout: 0.0
seed: 3407
warmup_iters: 2000
decay_iters: 10000
stage: substitution
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant/VAR/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant/VAR/checkpoint/Substitution/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant/VAR/results/Substitution/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant/VAR/saver/Substitution/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant/VAR/reconstruction/Substitution/ImageNet
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 1
batch_size: 64
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
fold_token_size: (1, 1, 2, 3, 3, 4, 5, 6, 8, 11)
data_pre: ImageNet_256
model_pre: model_16384_16_16
loss_pre: loss_0.2_0.1
training_pre: wasserstein_vq_substitution_1_False_False_True
saver_name_pre: wasserstein_vq_substitution_1_False_False_True_ImageNet_256_model_16384_16_16_loss_0.2_0.1
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
Train Epoch: [1/1] Iters:[760/20018] vq_loss 0.2543, rec_loss 0.0463, wasserstein_loss 0.0738, quant_error 0.2395, codebook_utilization 0.5896, codebook_perplexity 8110.8919,
Train Epoch: [1/1] Iters:[770/20018] vq_loss 0.2523, rec_loss 0.0459, wasserstein_loss 0.0712, quant_error 0.2374, codebook_utilization 0.5889, codebook_perplexity 8090.5117,
Train Epoch: [1/1] Iters:[780/20018] vq_loss 0.2528, rec_loss 0.0459, wasserstein_loss 0.0739, quant_error 0.2375, codebook_utilization 0.5902, codebook_perplexity 8124.7393,
Train Epoch: [1/1] Iters:[790/20018] vq_loss 0.2542, rec_loss 0.0461, wasserstein_loss 0.0736, quant_error 0.2389, codebook_utilization 0.5919, codebook_perplexity 8177.5875,
Train Epoch: [1/1] Iters:[800/20018] vq_loss 0.2547, rec_loss 0.0464, wasserstein_loss 0.0717, quant_error 0.2391, codebook_utilization 0.5916, codebook_perplexity 8172.0158,
Train Epoch: [1/1] Iters:[810/20018] vq_loss 0.2569, rec_loss 0.0472, wasserstein_loss 0.0767, quant_error 0.2407, codebook_utilization 0.5916, codebook_perplexity 8174.8442,
Train Epoch: [1/1] Iters:[820/20018] vq_loss 0.2567, rec_loss 0.0472, wasserstein_loss 0.0785, quant_error 0.2407, codebook_utilization 0.5913, codebook_perplexity 8174.1228,
Train Epoch: [1/1] Iters:[830/20018] vq_loss 0.2565, rec_loss 0.0470, wasserstein_loss 0.0788, quant_error 0.2402, codebook_utilization 0.5908, codebook_perplexity 8153.0853,
Train Epoch: [1/1] Iters:[840/20018] vq_loss 0.2536, rec_loss 0.0467, wasserstein_loss 0.0768, quant_error 0.2381, codebook_utilization 0.5911, codebook_perplexity 8174.3650,
Train Epoch: [1/1] Iters:[850/20018] vq_loss 0.2520, rec_loss 0.0463, wasserstein_loss 0.0774, quant_error 0.2365, codebook_utilization 0.5919, codebook_perplexity 8181.6781,
