dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 8
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
fold_patch_size: 1_1_2_3_3_4_5_6_8_11
max_patch_size: 16
codebook_size: 16384
codebook_dim: 32
z_channels: 256
factor: 16
L: 4
beta: 0.1
gamma_1: 0.1
gamma_2: 0.1
lambd: 0.2
VQ: wasserstein_vq
resume: False
use_trick: False
use_multiscale: True
fold_token: False
add_projection: False
epochs: 4
eval_epochs: 1
lr: 0.001
dropout: 0.0
seed: 3407
stage: substitution
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant/VAR/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant/VAR/checkpoint/Substitution/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant/VAR/results/Substitution/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant/VAR/saver/Substitution/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant/VAR/reconstruction/Substitution/ImageNet
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 1
batch_size: 64
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
fold_token_size: (1, 1, 2, 3, 3, 4, 5, 6, 8, 11)
data_pre: ImageNet_256
model_pre: model_16384_32_16
loss_pre: loss_0.1_0.1_0.1
training_pre: wasserstein_vq_substitution_4_False_True_False_False
saver_name_pre: wasserstein_vq_substitution_4_False_True_False_False_ImageNet_256_model_16384_32_16_loss_0.1_0.1_0.1
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
Train Epoch: [1/4] Iters:[520/20018] vq_loss 0.3877, rec_loss 0.0312, wasserstein_loss 0.0772, quant_error 0.2803, codebook_utilization 0.8053, codebook_perplexity 3422.3553,
Train Epoch: [1/4] Iters:[530/20018] vq_loss 0.3849, rec_loss 0.0312, wasserstein_loss 0.0763, quant_error 0.2782, codebook_utilization 0.8053, codebook_perplexity 3427.0686,
Train Epoch: [1/4] Iters:[540/20018] vq_loss 0.3832, rec_loss 0.0314, wasserstein_loss 0.0714, quant_error 0.2771, codebook_utilization 0.8068, codebook_perplexity 3491.0631,
Train Epoch: [1/4] Iters:[550/20018] vq_loss 0.3838, rec_loss 0.0315, wasserstein_loss 0.0695, quant_error 0.2778, codebook_utilization 0.8074, codebook_perplexity 3534.5645,
Train Epoch: [1/4] Iters:[560/20018] vq_loss 0.3822, rec_loss 0.0315, wasserstein_loss 0.0674, quant_error 0.2766, codebook_utilization 0.8073, codebook_perplexity 3548.5258,
Train Epoch: [1/4] Iters:[570/20018] vq_loss 0.3832, rec_loss 0.0314, wasserstein_loss 0.0664, quant_error 0.2774, codebook_utilization 0.8075, codebook_perplexity 3601.0616,
Train Epoch: [1/4] Iters:[580/20018] vq_loss 0.3836, rec_loss 0.0310, wasserstein_loss 0.0663, quant_error 0.2776, codebook_utilization 0.8059, codebook_perplexity 3597.9746,
Train Epoch: [1/4] Iters:[590/20018] vq_loss 0.3847, rec_loss 0.0309, wasserstein_loss 0.0647, quant_error 0.2785, codebook_utilization 0.8059, codebook_perplexity 3611.5015,
Train Epoch: [1/4] Iters:[600/20018] vq_loss 0.3829, rec_loss 0.0304, wasserstein_loss 0.0657, quant_error 0.2769, codebook_utilization 0.8064, codebook_perplexity 3654.4872,
Train Epoch: [1/4] Iters:[610/20018] vq_loss 0.3819, rec_loss 0.0303, wasserstein_loss 0.0666, quant_error 0.2759, codebook_utilization 0.8063, codebook_perplexity 3673.3929,
Train Epoch: [1/4] Iters:[620/20018] vq_loss 0.3826, rec_loss 0.0304, wasserstein_loss 0.0647, quant_error 0.2766, codebook_utilization 0.8077, codebook_perplexity 3731.4794,
Train Epoch: [1/4] Iters:[630/20018] vq_loss 0.3777, rec_loss 0.0300, wasserstein_loss 0.0707, quant_error 0.2722, codebook_utilization 0.8062, codebook_perplexity 3696.0161,
Train Epoch: [1/4] Iters:[640/20018] vq_loss 0.3765, rec_loss 0.0298, wasserstein_loss 0.0688, quant_error 0.2713, codebook_utilization 0.8066, codebook_perplexity 3736.9209,
Train Epoch: [1/4] Iters:[650/20018] vq_loss 0.3762, rec_loss 0.0297, wasserstein_loss 0.0698, quant_error 0.2710, codebook_utilization 0.8061, codebook_perplexity 3747.5182,
Train Epoch: [1/4] Iters:[660/20018] vq_loss 0.3757, rec_loss 0.0296, wasserstein_loss 0.0691, quant_error 0.2707, codebook_utilization 0.8052, codebook_perplexity 3728.1715,
Train Epoch: [1/4] Iters:[670/20018] vq_loss 0.3744, rec_loss 0.0291, wasserstein_loss 0.0692, quant_error 0.2696, codebook_utilization 0.8049, codebook_perplexity 3751.4675,
Train Epoch: [1/4] Iters:[680/20018] vq_loss 0.3775, rec_loss 0.0293, wasserstein_loss 0.0652, quant_error 0.2723, codebook_utilization 0.8058, codebook_perplexity 3806.9340,
Train Epoch: [1/4] Iters:[690/20018] vq_loss 0.3758, rec_loss 0.0292, wasserstein_loss 0.0704, quant_error 0.2705, codebook_utilization 0.8041, codebook_perplexity 3779.0497,
Train Epoch: [1/4] Iters:[700/20018] vq_loss 0.3740, rec_loss 0.0291, wasserstein_loss 0.0690, quant_error 0.2691, codebook_utilization 0.8041, codebook_perplexity 3784.8020,
