dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 8
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
fold_patch_size: 1_1_2_3_3_4_5_6_8_11
max_patch_size: 16
codebook_size: 4096
codebook_dim: 16
z_channels: 256
factor: 16
sigma: 0.8
gamma_1: 0.5
gamma_2: 0.1
lambd: 0.2
VQ: vanilla_vq
resume: False
use_multiscale: True
fold_token: False
use_pq: True
epochs: 1
eval_epochs: 1
lr: 0.001
dropout: 0.0
seed: 3407
warmup_iters: 2000
decay_iters: 10000
stage: substitution
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant/VAR/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant/VAR/checkpoint/Substitution/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant/VAR/results/Substitution/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant/VAR/saver/Substitution/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant/VAR/reconstruction/Substitution/ImageNet
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 1
batch_size: 64
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
fold_token_size: (1, 1, 2, 3, 3, 4, 5, 6, 8, 11)
data_pre: ImageNet_256
model_pre: model_4096_16_16
loss_pre: loss_0.5_0.1
training_pre: vanilla_vq_substitution_1_True_False_True
saver_name_pre: vanilla_vq_substitution_1_True_False_True_ImageNet_256_model_4096_16_16_loss_0.5_0.1
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.001000
Train Epoch: [1/1] Iters:[580/20018] vq_loss 0.5045, rec_loss 0.0355, quant_error 0.2690, codebook_utilization 0.4722, codebook_perplexity 258.5618,
Train Epoch: [1/1] Iters:[590/20018] vq_loss 0.5065, rec_loss 0.0356, quant_error 0.2706, codebook_utilization 0.4658, codebook_perplexity 256.2119,
Train Epoch: [1/1] Iters:[600/20018] vq_loss 0.5052, rec_loss 0.0353, quant_error 0.2704, codebook_utilization 0.4551, codebook_perplexity 253.6850,
Train Epoch: [1/1] Iters:[610/20018] vq_loss 0.5040, rec_loss 0.0355, quant_error 0.2703, codebook_utilization 0.4464, codebook_perplexity 250.7855,
Train Epoch: [1/1] Iters:[620/20018] vq_loss 0.5069, rec_loss 0.0356, quant_error 0.2722, codebook_utilization 0.4406, codebook_perplexity 250.5773,
Train Epoch: [1/1] Iters:[630/20018] vq_loss 0.5001, rec_loss 0.0354, quant_error 0.2691, codebook_utilization 0.4278, codebook_perplexity 247.2502,
Train Epoch: [1/1] Iters:[640/20018] vq_loss 0.4993, rec_loss 0.0352, quant_error 0.2690, codebook_utilization 0.4207, codebook_perplexity 248.0018,
Train Epoch: [1/1] Iters:[650/20018] vq_loss 0.4996, rec_loss 0.0351, quant_error 0.2696, codebook_utilization 0.4147, codebook_perplexity 248.4988,
Train Epoch: [1/1] Iters:[660/20018] vq_loss 0.4989, rec_loss 0.0350, quant_error 0.2696, codebook_utilization 0.4078, codebook_perplexity 247.3840,
Train Epoch: [1/1] Iters:[670/20018] vq_loss 0.4971, rec_loss 0.0345, quant_error 0.2690, codebook_utilization 0.3999, codebook_perplexity 245.6792,
Train Epoch: [1/1] Iters:[680/20018] vq_loss 0.5020, rec_loss 0.0345, quant_error 0.2718, codebook_utilization 0.3969, codebook_perplexity 245.2487,
Train Epoch: [1/1] Iters:[690/20018] vq_loss 0.5010, rec_loss 0.0344, quant_error 0.2719, codebook_utilization 0.3883, codebook_perplexity 242.2520,
Train Epoch: [1/1] Iters:[700/20018] vq_loss 0.4992, rec_loss 0.0346, quant_error 0.2712, codebook_utilization 0.3804, codebook_perplexity 239.4862,
Train Epoch: [1/1] Iters:[710/20018] vq_loss 0.4990, rec_loss 0.0345, quant_error 0.2713, codebook_utilization 0.3747, codebook_perplexity 238.4904,
Train Epoch: [1/1] Iters:[720/20018] vq_loss 0.4999, rec_loss 0.0349, quant_error 0.2719, codebook_utilization 0.3702, codebook_perplexity 238.8781,
Train Epoch: [1/1] Iters:[730/20018] vq_loss 0.4986, rec_loss 0.0351, quant_error 0.2715, codebook_utilization 0.3639, codebook_perplexity 240.1361,
Train Epoch: [1/1] Iters:[740/20018] vq_loss 0.5015, rec_loss 0.0352, quant_error 0.2729, codebook_utilization 0.3643, codebook_perplexity 243.1138,
Train Epoch: [1/1] Iters:[750/20018] vq_loss 0.5015, rec_loss 0.0349, quant_error 0.2729, codebook_utilization 0.3607, codebook_perplexity 244.8075,
Train Epoch: [1/1] Iters:[760/20018] vq_loss 0.5001, rec_loss 0.0346, quant_error 0.2724, codebook_utilization 0.3526, codebook_perplexity 245.3354,
Train Epoch: [1/1] Iters:[770/20018] vq_loss 0.4949, rec_loss 0.0344, quant_error 0.2698, codebook_utilization 0.3425, codebook_perplexity 244.2927,
Train Epoch: [1/1] Iters:[780/20018] vq_loss 0.4950, rec_loss 0.0344, quant_error 0.2698, codebook_utilization 0.3383, codebook_perplexity 245.2427,
Train Epoch: [1/1] Iters:[790/20018] vq_loss 0.4981, rec_loss 0.0343, quant_error 0.2714, codebook_utilization 0.3355, codebook_perplexity 246.3279,
Train Epoch: [1/1] Iters:[800/20018] vq_loss 0.5003, rec_loss 0.0344, quant_error 0.2724, codebook_utilization 0.3339, codebook_perplexity 247.7097,
Train Epoch: [1/1] Iters:[810/20018] vq_loss 0.5045, rec_loss 0.0349, quant_error 0.2743, codebook_utilization 0.3347, codebook_perplexity 250.5349,
Train Epoch: [1/1] Iters:[820/20018] vq_loss 0.5057, rec_loss 0.0348, quant_error 0.2748, codebook_utilization 0.3324, codebook_perplexity 251.6446,
Train Epoch: [1/1] Iters:[830/20018] vq_loss 0.5054, rec_loss 0.0345, quant_error 0.2747, codebook_utilization 0.3277, codebook_perplexity 251.0389,
Train Epoch: [1/1] Iters:[840/20018] vq_loss 0.5010, rec_loss 0.0345, quant_error 0.2724, codebook_utilization 0.3192, codebook_perplexity 250.6161,
Train Epoch: [1/1] Iters:[850/20018] vq_loss 0.4977, rec_loss 0.0344, quant_error 0.2708, codebook_utilization 0.3121, codebook_perplexity 252.6937,
Train Epoch: [1/1] Iters:[860/20018] vq_loss 0.4945, rec_loss 0.0342, quant_error 0.2691, codebook_utilization 0.3059, codebook_perplexity 254.6472,
Train Epoch: [1/1] Iters:[870/20018] vq_loss 0.4947, rec_loss 0.0341, quant_error 0.2691, codebook_utilization 0.3037, codebook_perplexity 257.5281,
Train Epoch: [1/1] Iters:[880/20018] vq_loss 0.4948, rec_loss 0.0342, quant_error 0.2690, codebook_utilization 0.3003, codebook_perplexity 259.9166,
Train Epoch: [1/1] Iters:[890/20018] vq_loss 0.4922, rec_loss 0.0337, quant_error 0.2674, codebook_utilization 0.2951, codebook_perplexity 259.9938,
Train Epoch: [1/1] Iters:[900/20018] vq_loss 0.4952, rec_loss 0.0339, quant_error 0.2687, codebook_utilization 0.2940, codebook_perplexity 259.5534,
Train Epoch: [1/1] Iters:[910/20018] vq_loss 0.4968, rec_loss 0.0341, quant_error 0.2691, codebook_utilization 0.2937, codebook_perplexity 258.4489,
Train Epoch: [1/1] Iters:[920/20018] vq_loss 0.4988, rec_loss 0.0340, quant_error 0.2699, codebook_utilization 0.2948, codebook_perplexity 260.9459,
Train Epoch: [1/1] Iters:[930/20018] vq_loss 0.4975, rec_loss 0.0337, quant_error 0.2686, codebook_utilization 0.2941, codebook_perplexity 264.4885,
Train Epoch: [1/1] Iters:[940/20018] vq_loss 0.5002, rec_loss 0.0341, quant_error 0.2696, codebook_utilization 0.2973, codebook_perplexity 270.8714,
Train Epoch: [1/1] Iters:[950/20018] vq_loss 0.4969, rec_loss 0.0337, quant_error 0.2674, codebook_utilization 0.2950, codebook_perplexity 275.2532,
Train Epoch: [1/1] Iters:[960/20018] vq_loss 0.4976, rec_loss 0.0332, quant_error 0.2673, codebook_utilization 0.2952, codebook_perplexity 282.0833,
Train Epoch: [1/1] Iters:[970/20018] vq_loss 0.4937, rec_loss 0.0333, quant_error 0.2651, codebook_utilization 0.2875, codebook_perplexity 283.5522,
Train Epoch: [1/1] Iters:[980/20018] vq_loss 0.4934, rec_loss 0.0337, quant_error 0.2646, codebook_utilization 0.2848, codebook_perplexity 283.6391,
Train Epoch: [1/1] Iters:[990/20018] vq_loss 0.4893, rec_loss 0.0334, quant_error 0.2622, codebook_utilization 0.2776, codebook_perplexity 279.2662,
Train Epoch: [1/1] Iters:[1000/20018] vq_loss 0.4916, rec_loss 0.0337, quant_error 0.2629, codebook_utilization 0.2761, codebook_perplexity 276.4495,
