dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 8
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 4096
codebook_dim: 32
z_channels: 256
factor: 16
sigma: 0.5
gamma_1: 0.2
gamma_2: 0.2
lambd: 0.2
VQ: wasserstein_vq
resume: False
use_multiscale: True
use_pq: False
epochs: 1
eval_epochs: 1
lr: 0.001
dropout: 0.0
seed: 3407
iterations: 1000
warmup_iters: 2000
decay_iters: 10000
stage: substitution
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant/VAR/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant/VAR/checkpoint/Substitution/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant/VAR/results/Substitution/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant/VAR/saver/Substitution/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant/VAR/reconstruction/Substitution/ImageNet
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 1
batch_size: 64
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
data_pre: ImageNet_256
model_pre: model_4096_32_16
loss_pre: loss_0.2
training_pre: wasserstein_vq_substitution_1_True
saver_name_pre: wasserstein_vq_substitution_1_True_ImageNet_256_model_4096_32_16_loss_0.2
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
Train Epoch: [1/1] Iters:[660/20018] vq_loss 0.4777, rec_loss 0.0497, wasserstein_loss 0.0507, quant_error 0.3554, codebook_utilization 0.9998, codebook_perplexity 1614.0698,
Train Epoch: [1/1] Iters:[670/20018] vq_loss 0.4763, rec_loss 0.0490, wasserstein_loss 0.0514, quant_error 0.3540, codebook_utilization 0.9998, codebook_perplexity 1623.1972,
Train Epoch: [1/1] Iters:[680/20018] vq_loss 0.4810, rec_loss 0.0491, wasserstein_loss 0.0500, quant_error 0.3582, codebook_utilization 0.9998, codebook_perplexity 1634.8042,
Train Epoch: [1/1] Iters:[690/20018] vq_loss 0.4800, rec_loss 0.0487, wasserstein_loss 0.0527, quant_error 0.3564, codebook_utilization 0.9998, codebook_perplexity 1608.0502,
Train Epoch: [1/1] Iters:[700/20018] vq_loss 0.4791, rec_loss 0.0489, wasserstein_loss 0.0514, quant_error 0.3558, codebook_utilization 0.9997, codebook_perplexity 1623.7782,
Train Epoch: [1/1] Iters:[710/20018] vq_loss 0.4772, rec_loss 0.0484, wasserstein_loss 0.0517, quant_error 0.3540, codebook_utilization 0.9997, codebook_perplexity 1631.3692,
Train Epoch: [1/1] Iters:[720/20018] vq_loss 0.4773, rec_loss 0.0486, wasserstein_loss 0.0503, quant_error 0.3544, codebook_utilization 0.9997, codebook_perplexity 1619.0753,
Train Epoch: [1/1] Iters:[730/20018] vq_loss 0.4743, rec_loss 0.0483, wasserstein_loss 0.0514, quant_error 0.3514, codebook_utilization 0.9997, codebook_perplexity 1611.1656,
Train Epoch: [1/1] Iters:[740/20018] vq_loss 0.4771, rec_loss 0.0484, wasserstein_loss 0.0494, quant_error 0.3542, codebook_utilization 0.9997, codebook_perplexity 1621.3817,
Train Epoch: [1/1] Iters:[750/20018] vq_loss 0.4764, rec_loss 0.0478, wasserstein_loss 0.0483, quant_error 0.3536, codebook_utilization 0.9997, codebook_perplexity 1598.7613,
Train Epoch: [1/1] Iters:[760/20018] vq_loss 0.4764, rec_loss 0.0473, wasserstein_loss 0.0488, quant_error 0.3532, codebook_utilization 0.9998, codebook_perplexity 1616.9289,
Train Epoch: [1/1] Iters:[770/20018] vq_loss 0.4724, rec_loss 0.0469, wasserstein_loss 0.0494, quant_error 0.3496, codebook_utilization 0.9998, codebook_perplexity 1608.1504,
Train Epoch: [1/1] Iters:[780/20018] vq_loss 0.4738, rec_loss 0.0469, wasserstein_loss 0.0481, quant_error 0.3510, codebook_utilization 0.9998, codebook_perplexity 1626.5069,
Train Epoch: [1/1] Iters:[790/20018] vq_loss 0.4763, rec_loss 0.0467, wasserstein_loss 0.0479, quant_error 0.3527, codebook_utilization 0.9997, codebook_perplexity 1634.4788,
Train Epoch: [1/1] Iters:[800/20018] vq_loss 0.4778, rec_loss 0.0467, wasserstein_loss 0.0499, quant_error 0.3533, codebook_utilization 0.9997, codebook_perplexity 1627.1238,
Train Epoch: [1/1] Iters:[810/20018] vq_loss 0.4820, rec_loss 0.0472, wasserstein_loss 0.0519, quant_error 0.3565, codebook_utilization 0.9997, codebook_perplexity 1629.2369,
Train Epoch: [1/1] Iters:[820/20018] vq_loss 0.4829, rec_loss 0.0469, wasserstein_loss 0.0545, quant_error 0.3562, codebook_utilization 0.9997, codebook_perplexity 1618.0989,
Train Epoch: [1/1] Iters:[830/20018] vq_loss 0.4823, rec_loss 0.0466, wasserstein_loss 0.0538, quant_error 0.3556, codebook_utilization 0.9997, codebook_perplexity 1609.0089,
Train Epoch: [1/1] Iters:[840/20018] vq_loss 0.4781, rec_loss 0.0463, wasserstein_loss 0.0533, quant_error 0.3519, codebook_utilization 0.9997, codebook_perplexity 1626.2741,
Train Epoch: [1/1] Iters:[850/20018] vq_loss 0.4747, rec_loss 0.0458, wasserstein_loss 0.0527, quant_error 0.3491, codebook_utilization 0.9997, codebook_perplexity 1634.9417,
Train Epoch: [1/1] Iters:[860/20018] vq_loss 0.4706, rec_loss 0.0455, wasserstein_loss 0.0508, quant_error 0.3457, codebook_utilization 0.9997, codebook_perplexity 1637.9446,
Train Epoch: [1/1] Iters:[870/20018] vq_loss 0.4707, rec_loss 0.0455, wasserstein_loss 0.0477, quant_error 0.3465, codebook_utilization 0.9997, codebook_perplexity 1657.3937,
Train Epoch: [1/1] Iters:[880/20018] vq_loss 0.4701, rec_loss 0.0454, wasserstein_loss 0.0477, quant_error 0.3456, codebook_utilization 0.9997, codebook_perplexity 1663.5481,
Train Epoch: [1/1] Iters:[890/20018] vq_loss 0.4684, rec_loss 0.0447, wasserstein_loss 0.0478, quant_error 0.3440, codebook_utilization 0.9997, codebook_perplexity 1661.1539,
Train Epoch: [1/1] Iters:[900/20018] vq_loss 0.4719, rec_loss 0.0451, wasserstein_loss 0.0470, quant_error 0.3470, codebook_utilization 0.9997, codebook_perplexity 1687.6063,
Train Epoch: [1/1] Iters:[910/20018] vq_loss 0.4734, rec_loss 0.0452, wasserstein_loss 0.0476, quant_error 0.3477, codebook_utilization 0.9998, codebook_perplexity 1672.7506,
