dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 8
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 4096
codebook_dim: 16
z_channels: 256
factor: 16
sigma: 0.8
gamma_1: 0.2
gamma_2: 0.1
lambd: 0.2
VQ: wasserstein_vq
resume: False
use_multiscale: True
use_pq: True
epochs: 1
eval_epochs: 1
lr: 0.001
dropout: 0.0
seed: 3407
iterations: 1000
warmup_iters: 2000
decay_iters: 10000
stage: substitution
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant/VAR/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant/VAR/checkpoint/Substitution/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant/VAR/results/Substitution/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant/VAR/saver/Substitution/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant/VAR/reconstruction/Substitution/ImageNet
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 1
batch_size: 64
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
data_pre: ImageNet_256
model_pre: model_4096_16_16
loss_pre: loss_0.2_0.1
training_pre: wasserstein_vq_substitution_1_True_1000
saver_name_pre: wasserstein_vq_substitution_1_True_1000_ImageNet_256_model_4096_16_16_loss_0.2_0.1
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
Train Epoch: [1/1] Iters:[510/20018] vq_loss 0.4566, rec_loss 0.0311, wasserstein_loss 0.0497, quant_error 0.2757, codebook_utilization 0.9984, codebook_perplexity 435.2108,
Train Epoch: [1/1] Iters:[520/20018] vq_loss 0.4547, rec_loss 0.0312, wasserstein_loss 0.0490, quant_error 0.2744, codebook_utilization 0.9984, codebook_perplexity 431.4659,
Train Epoch: [1/1] Iters:[530/20018] vq_loss 0.4498, rec_loss 0.0311, wasserstein_loss 0.0477, quant_error 0.2712, codebook_utilization 0.9984, codebook_perplexity 430.7352,
Train Epoch: [1/1] Iters:[540/20018] vq_loss 0.4491, rec_loss 0.0314, wasserstein_loss 0.0439, quant_error 0.2709, codebook_utilization 0.9985, codebook_perplexity 435.6113,
Train Epoch: [1/1] Iters:[550/20018] vq_loss 0.4492, rec_loss 0.0315, wasserstein_loss 0.0434, quant_error 0.2706, codebook_utilization 0.9985, codebook_perplexity 437.3127,
Train Epoch: [1/1] Iters:[560/20018] vq_loss 0.4490, rec_loss 0.0314, wasserstein_loss 0.0420, quant_error 0.2705, codebook_utilization 0.9985, codebook_perplexity 441.0004,
Train Epoch: [1/1] Iters:[570/20018] vq_loss 0.4518, rec_loss 0.0314, wasserstein_loss 0.0433, quant_error 0.2718, codebook_utilization 0.9986, codebook_perplexity 440.7341,
Train Epoch: [1/1] Iters:[580/20018] vq_loss 0.4540, rec_loss 0.0310, wasserstein_loss 0.0422, quant_error 0.2726, codebook_utilization 0.9985, codebook_perplexity 431.0753,
Train Epoch: [1/1] Iters:[590/20018] vq_loss 0.4558, rec_loss 0.0309, wasserstein_loss 0.0415, quant_error 0.2737, codebook_utilization 0.9985, codebook_perplexity 429.7005,
Train Epoch: [1/1] Iters:[600/20018] vq_loss 0.4553, rec_loss 0.0305, wasserstein_loss 0.0421, quant_error 0.2726, codebook_utilization 0.9985, codebook_perplexity 430.9329,
