dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 8
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
fold_patch_size: 1_1_2_3_3_4_5_6_8_11
max_patch_size: 16
codebook_size: 16384
codebook_dim: 32
z_channels: 256
factor: 16
sigma: 0.5
gamma_1: 0.2
gamma_2: 0.1
lambd: 0.2
VQ: wasserstein_vq
resume: False
use_multiscale: False
fold_token: False
use_pq: False
epochs: 1
eval_epochs: 1
lr: 0.001
dropout: 0.0
seed: 3407
warmup_iters: 2000
decay_iters: 10000
stage: substitution
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant/VAR/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant/VAR/checkpoint/Substitution/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant/VAR/results/Substitution/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant/VAR/saver/Substitution/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant/VAR/reconstruction/Substitution/ImageNet
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 1
batch_size: 64
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
fold_token_size: (1, 1, 2, 3, 3, 4, 5, 6, 8, 11)
data_pre: ImageNet_256
model_pre: model_16384_32_16
loss_pre: loss_0.2_0.1
training_pre: wasserstein_vq_substitution_1_False_False_False
saver_name_pre: wasserstein_vq_substitution_1_False_False_False_ImageNet_256_model_16384_32_16_loss_0.2_0.1
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
Train Epoch: [1/1] Iters:[890/20018] vq_loss 0.3989, rec_loss 0.0746, wasserstein_loss 0.1007, quant_error 0.3787, codebook_utilization 0.5502, codebook_perplexity 7160.1919,
Train Epoch: [1/1] Iters:[900/20018] vq_loss 0.4015, rec_loss 0.0753, wasserstein_loss 0.0996, quant_error 0.3816, codebook_utilization 0.5502, codebook_perplexity 7197.8044,
Train Epoch: [1/1] Iters:[910/20018] vq_loss 0.4032, rec_loss 0.0757, wasserstein_loss 0.1022, quant_error 0.3827, codebook_utilization 0.5506, codebook_perplexity 7215.9505,
Train Epoch: [1/1] Iters:[920/20018] vq_loss 0.4051, rec_loss 0.0758, wasserstein_loss 0.1026, quant_error 0.3846, codebook_utilization 0.5500, codebook_perplexity 7190.7619,
Train Epoch: [1/1] Iters:[930/20018] vq_loss 0.4042, rec_loss 0.0751, wasserstein_loss 0.0998, quant_error 0.3842, codebook_utilization 0.5501, codebook_perplexity 7175.0905,
Train Epoch: [1/1] Iters:[940/20018] vq_loss 0.4061, rec_loss 0.0755, wasserstein_loss 0.0996, quant_error 0.3862, codebook_utilization 0.5504, codebook_perplexity 7185.2427,
Train Epoch: [1/1] Iters:[950/20018] vq_loss 0.4033, rec_loss 0.0748, wasserstein_loss 0.0977, quant_error 0.3838, codebook_utilization 0.5506, codebook_perplexity 7198.5363,
Train Epoch: [1/1] Iters:[960/20018] vq_loss 0.4035, rec_loss 0.0745, wasserstein_loss 0.0934, quant_error 0.3848, codebook_utilization 0.5497, codebook_perplexity 7188.7714,
Train Epoch: [1/1] Iters:[970/20018] vq_loss 0.3999, rec_loss 0.0744, wasserstein_loss 0.0916, quant_error 0.3816, codebook_utilization 0.5501, codebook_perplexity 7234.5936,
Train Epoch: [1/1] Iters:[980/20018] vq_loss 0.3996, rec_loss 0.0748, wasserstein_loss 0.0907, quant_error 0.3814, codebook_utilization 0.5496, codebook_perplexity 7240.0417,
Train Epoch: [1/1] Iters:[990/20018] vq_loss 0.3961, rec_loss 0.0743, wasserstein_loss 0.0898, quant_error 0.3781, codebook_utilization 0.5486, codebook_perplexity 7215.5162,
Train Epoch: [1/1] Iters:[1000/20018] vq_loss 0.3994, rec_loss 0.0752, wasserstein_loss 0.0925, quant_error 0.3809, codebook_utilization 0.5465, codebook_perplexity 7174.7309,
Train Epoch: [1/1] Iters:[1010/20018] vq_loss 0.3980, rec_loss 0.0750, wasserstein_loss 0.0918, quant_error 0.3796, codebook_utilization 0.5459, codebook_perplexity 7162.1977,
Train Epoch: [1/1] Iters:[1020/20018] vq_loss 0.3989, rec_loss 0.0746, wasserstein_loss 0.0903, quant_error 0.3809, codebook_utilization 0.5460, codebook_perplexity 7157.8225,
Train Epoch: [1/1] Iters:[1030/20018] vq_loss 0.3994, rec_loss 0.0742, wasserstein_loss 0.0904, quant_error 0.3814, codebook_utilization 0.5462, codebook_perplexity 7164.9399,
Train Epoch: [1/1] Iters:[1040/20018] vq_loss 0.4011, rec_loss 0.0743, wasserstein_loss 0.0929, quant_error 0.3825, codebook_utilization 0.5466, codebook_perplexity 7179.2794,
Train Epoch: [1/1] Iters:[1050/20018] vq_loss 0.3988, rec_loss 0.0737, wasserstein_loss 0.0898, quant_error 0.3808, codebook_utilization 0.5473, codebook_perplexity 7207.9139,
Train Epoch: [1/1] Iters:[1060/20018] vq_loss 0.3985, rec_loss 0.0739, wasserstein_loss 0.0913, quant_error 0.3802, codebook_utilization 0.5466, codebook_perplexity 7195.8844,
Train Epoch: [1/1] Iters:[1070/20018] vq_loss 0.3978, rec_loss 0.0737, wasserstein_loss 0.0915, quant_error 0.3795, codebook_utilization 0.5459, codebook_perplexity 7188.5194,
Train Epoch: [1/1] Iters:[1080/20018] vq_loss 0.4000, rec_loss 0.0739, wasserstein_loss 0.0945, quant_error 0.3811, codebook_utilization 0.5445, codebook_perplexity 7166.0613,
