Train Epoch: [1/5] Iters:[350/20018] gen_loss 0.2936, rec_loss 0.0313, lpips_loss 0.2623, g_loss -0.0262, disc_weight 0.0000, disc_adaptive_weight 2.9158, codebook_loss 0.6169, utilization 0.2019, perplexity 11902.9769, d_loss 0.0000, logits_real 0.0285, logits_fake 0.0270,
Train Epoch: [1/5] Iters:[360/20018] gen_loss 0.2930, rec_loss 0.0315, lpips_loss 0.2615, g_loss -0.0285, disc_weight 0.0000, disc_adaptive_weight 3.1009, codebook_loss 0.6190, utilization 0.2020, perplexity 11915.5814, d_loss 0.0000, logits_real 0.0292, logits_fake 0.0293,
Train Epoch: [1/5] Iters:[370/20018] gen_loss 0.2900, rec_loss 0.0306, lpips_loss 0.2594, g_loss -0.0299, disc_weight 0.0000, disc_adaptive_weight 3.2040, codebook_loss 0.6156, utilization 0.2020, perplexity 11907.9397, d_loss 0.0000, logits_real 0.0309, logits_fake 0.0310,
Train Epoch: [1/5] Iters:[380/20018] gen_loss 0.2893, rec_loss 0.0309, lpips_loss 0.2584, g_loss -0.0307, disc_weight 0.0000, disc_adaptive_weight 3.1431, codebook_loss 0.6139, utilization 0.2019, perplexity 11899.0176, d_loss 0.0000, logits_real 0.0319, logits_fake 0.0321,
Train Epoch: [1/5] Iters:[390/20018] gen_loss 0.2911, rec_loss 0.0312, lpips_loss 0.2599, g_loss -0.0306, disc_weight 0.0000, disc_adaptive_weight 2.8804, codebook_loss 0.6145, utilization 0.2022, perplexity 11941.3491, d_loss 0.0000, logits_real 0.0315, logits_fake 0.0318,
Train Epoch: [1/5] Iters:[400/20018] gen_loss 0.2883, rec_loss 0.0311, lpips_loss 0.2571, g_loss -0.0319, disc_weight 0.0000, disc_adaptive_weight 2.6767, codebook_loss 0.6109, utilization 0.2022, perplexity 11923.0519, d_loss 0.0000, logits_real 0.0329, logits_fake 0.0334,
Train Epoch: [1/5] Iters:[410/20018] gen_loss 0.2877, rec_loss 0.0310, lpips_loss 0.2567, g_loss -0.0314, disc_weight 0.0000, disc_adaptive_weight 2.3774, codebook_loss 0.6078, utilization 0.2023, perplexity 11949.2888, d_loss 0.0000, logits_real 0.0326, logits_fake 0.0327,
Train Epoch: [1/5] Iters:[420/20018] gen_loss 0.2875, rec_loss 0.0308, lpips_loss 0.2567, g_loss -0.0313, disc_weight 0.0000, disc_adaptive_weight 2.3511, codebook_loss 0.6072, utilization 0.2022, perplexity 11944.5280, d_loss 0.0000, logits_real 0.0318, logits_fake 0.0322,
Train Epoch: [1/5] Iters:[430/20018] gen_loss 0.2865, rec_loss 0.0300, lpips_loss 0.2565, g_loss -0.0327, disc_weight 0.0000, disc_adaptive_weight 2.3618, codebook_loss 0.6057, utilization 0.2021, perplexity 11927.1301, d_loss 0.0000, logits_real 0.0328, logits_fake 0.0327,
Train Epoch: [1/5] Iters:[440/20018] gen_loss 0.2868, rec_loss 0.0302, lpips_loss 0.2566, g_loss -0.0329, disc_weight 0.0000, disc_adaptive_weight 2.3982, codebook_loss 0.6051, utilization 0.2021, perplexity 11946.4235, d_loss 0.0000, logits_real 0.0332, logits_fake 0.0327,
