Train Epoch: [1/5] Iters:[410/40036] gen_loss 0.5595, rec_loss 0.0701, lpips_loss 0.4894, g_loss 0.2214, disc_weight 0.0000, disc_adaptive_weight 3.5459, codebook_loss 0.6697, utilization 0.0018, perplexity 20.1399, d_loss 0.0000, logits_real -0.2109, logits_fake -0.2245,
Train Epoch: [1/5] Iters:[420/40036] gen_loss 0.5596, rec_loss 0.0705, lpips_loss 0.4891, g_loss 0.2249, disc_weight 0.0000, disc_adaptive_weight 3.9935, codebook_loss 0.6724, utilization 0.0018, perplexity 20.2125, d_loss 0.0000, logits_real -0.2117, logits_fake -0.2249,
Train Epoch: [1/5] Iters:[430/40036] gen_loss 0.5591, rec_loss 0.0705, lpips_loss 0.4886, g_loss 0.2275, disc_weight 0.0000, disc_adaptive_weight 4.0705, codebook_loss 0.6752, utilization 0.0018, perplexity 20.1863, d_loss 0.0000, logits_real -0.2144, logits_fake -0.2269,
Train Epoch: [1/5] Iters:[440/40036] gen_loss 0.5592, rec_loss 0.0710, lpips_loss 0.4882, g_loss 0.2234, disc_weight 0.0000, disc_adaptive_weight 4.0614, codebook_loss 0.6666, utilization 0.0018, perplexity 20.3427, d_loss 0.0000, logits_real -0.2122, logits_fake -0.2217,
Train Epoch: [1/5] Iters:[450/40036] gen_loss 0.5581, rec_loss 0.0702, lpips_loss 0.4879, g_loss 0.2185, disc_weight 0.0000, disc_adaptive_weight 4.3825, codebook_loss 0.6635, utilization 0.0018, perplexity 20.4227, d_loss 0.0000, logits_real -0.2111, logits_fake -0.2175,
Train Epoch: [1/5] Iters:[460/40036] gen_loss 0.5598, rec_loss 0.0708, lpips_loss 0.4890, g_loss 0.2154, disc_weight 0.0000, disc_adaptive_weight 4.4109, codebook_loss 0.6584, utilization 0.0018, perplexity 20.4674, d_loss 0.0000, logits_real -0.2087, logits_fake -0.2151,
Train Epoch: [1/5] Iters:[470/40036] gen_loss 0.5622, rec_loss 0.0719, lpips_loss 0.4903, g_loss 0.2165, disc_weight 0.0000, disc_adaptive_weight 4.2132, codebook_loss 0.6549, utilization 0.0018, perplexity 20.3076, d_loss 0.0000, logits_real -0.2102, logits_fake -0.2171,
Train Epoch: [1/5] Iters:[480/40036] gen_loss 0.5612, rec_loss 0.0716, lpips_loss 0.4896, g_loss 0.2104, disc_weight 0.0000, disc_adaptive_weight 4.3571, codebook_loss 0.6479, utilization 0.0018, perplexity 20.3229, d_loss 0.0000, logits_real -0.2074, logits_fake -0.2101,
Train Epoch: [1/5] Iters:[490/40036] gen_loss 0.5594, rec_loss 0.0717, lpips_loss 0.4877, g_loss 0.2125, disc_weight 0.0000, disc_adaptive_weight 4.3404, codebook_loss 0.6566, utilization 0.0018, perplexity 20.4016, d_loss 0.0000, logits_real -0.2102, logits_fake -0.2121,
Train Epoch: [1/5] Iters:[500/40036] gen_loss 0.5560, rec_loss 0.0708, lpips_loss 0.4853, g_loss 0.2136, disc_weight 0.0000, disc_adaptive_weight 4.0313, codebook_loss 0.6570, utilization 0.0018, perplexity 20.3897, d_loss 0.0000, logits_real -0.2088, logits_fake -0.2120,
Train Epoch: [1/5] Iters:[510/40036] gen_loss 0.5538, rec_loss 0.0696, lpips_loss 0.4842, g_loss 0.2157, disc_weight 0.0000, disc_adaptive_weight 3.8468, codebook_loss 0.6600, utilization 0.0018, perplexity 20.4315, d_loss 0.0000, logits_real -0.2081, logits_fake -0.2134,
Train Epoch: [1/5] Iters:[520/40036] gen_loss 0.5524, rec_loss 0.0688, lpips_loss 0.4836, g_loss 0.2138, disc_weight 0.0000, disc_adaptive_weight 3.8074, codebook_loss 0.6680, utilization 0.0018, perplexity 20.3316, d_loss 0.0000, logits_real -0.2101, logits_fake -0.2131,
Train Epoch: [1/5] Iters:[530/40036] gen_loss 0.5480, rec_loss 0.0677, lpips_loss 0.4803, g_loss 0.2192, disc_weight 0.0000, disc_adaptive_weight 3.6095, codebook_loss 0.6776, utilization 0.0018, perplexity 20.3236, d_loss 0.0000, logits_real -0.2108, logits_fake -0.2203,
Train Epoch: [1/5] Iters:[540/40036] gen_loss 0.5472, rec_loss 0.0677, lpips_loss 0.4795, g_loss 0.2198, disc_weight 0.0000, disc_adaptive_weight 3.5054, codebook_loss 0.6787, utilization 0.0018, perplexity 20.2435, d_loss 0.0000, logits_real -0.2131, logits_fake -0.2218,
Train Epoch: [1/5] Iters:[550/40036] gen_loss 0.5488, rec_loss 0.0685, lpips_loss 0.4803, g_loss 0.2195, disc_weight 0.0000, disc_adaptive_weight 3.4498, codebook_loss 0.6742, utilization 0.0018, perplexity 20.2924, d_loss 0.0000, logits_real -0.2167, logits_fake -0.2229,
Train Epoch: [1/5] Iters:[560/40036] gen_loss 0.5481, rec_loss 0.0687, lpips_loss 0.4794, g_loss 0.2162, disc_weight 0.0000, disc_adaptive_weight 3.5909, codebook_loss 0.6687, utilization 0.0018, perplexity 20.2409, d_loss 0.0000, logits_real -0.2167, logits_fake -0.2221,
Train Epoch: [1/5] Iters:[570/40036] gen_loss 0.5450, rec_loss 0.0685, lpips_loss 0.4765, g_loss 0.2170, disc_weight 0.0000, disc_adaptive_weight 3.7938, codebook_loss 0.6614, utilization 0.0018, perplexity 20.2342, d_loss 0.0000, logits_real -0.2138, logits_fake -0.2223,
Train Epoch: [1/5] Iters:[580/40036] gen_loss 0.5441, rec_loss 0.0680, lpips_loss 0.4761, g_loss 0.2148, disc_weight 0.0000, disc_adaptive_weight 3.9141, codebook_loss 0.6588, utilization 0.0018, perplexity 20.2360, d_loss 0.0000, logits_real -0.2120, logits_fake -0.2198,
Train Epoch: [1/5] Iters:[590/40036] gen_loss 0.5441, rec_loss 0.0676, lpips_loss 0.4766, g_loss 0.2122, disc_weight 0.0000, disc_adaptive_weight 4.1888, codebook_loss 0.6567, utilization 0.0018, perplexity 20.3524, d_loss 0.0000, logits_real -0.2103, logits_fake -0.2176,
Train Epoch: [1/5] Iters:[600/40036] gen_loss 0.5451, rec_loss 0.0688, lpips_loss 0.4763, g_loss 0.2123, disc_weight 0.0000, disc_adaptive_weight 4.1446, codebook_loss 0.6544, utilization 0.0018, perplexity 20.3294, d_loss 0.0000, logits_real -0.2105, logits_fake -0.2189,
Train Epoch: [1/5] Iters:[610/40036] gen_loss 0.5458, rec_loss 0.0683, lpips_loss 0.4775, g_loss 0.2121, disc_weight 0.0000, disc_adaptive_weight 4.2683, codebook_loss 0.6506, utilization 0.0018, perplexity 20.4119, d_loss 0.0000, logits_real -0.2090, logits_fake -0.2157,
Train Epoch: [1/5] Iters:[620/40036] gen_loss 0.5468, rec_loss 0.0673, lpips_loss 0.4795, g_loss 0.2103, disc_weight 0.0000, disc_adaptive_weight 4.0944, codebook_loss 0.6468, utilization 0.0018, perplexity 20.4849, d_loss 0.0000, logits_real -0.2062, logits_fake -0.2131,
Train Epoch: [1/5] Iters:[630/40036] gen_loss 0.5517, rec_loss 0.0695, lpips_loss 0.4823, g_loss 0.2110, disc_weight 0.0000, disc_adaptive_weight 4.3220, codebook_loss 0.6369, utilization 0.0018, perplexity 20.3244, d_loss 0.0000, logits_real -0.2092, logits_fake -0.2125,
Train Epoch: [1/5] Iters:[640/40036] gen_loss 0.5536, rec_loss 0.0699, lpips_loss 0.4837, g_loss 0.2086, disc_weight 0.0000, disc_adaptive_weight 4.0959, codebook_loss 0.6389, utilization 0.0018, perplexity 20.0574, d_loss 0.0000, logits_real -0.2062, logits_fake -0.2087,
Train Epoch: [1/5] Iters:[650/40036] gen_loss 0.5527, rec_loss 0.0684, lpips_loss 0.4843, g_loss 0.2090, disc_weight 0.0000, disc_adaptive_weight 4.1985, codebook_loss 0.6438, utilization 0.0018, perplexity 20.0865, d_loss 0.0000, logits_real -0.2036, logits_fake -0.2064,
Train Epoch: [1/5] Iters:[660/40036] gen_loss 0.5543, rec_loss 0.0701, lpips_loss 0.4842, g_loss 0.2098, disc_weight 0.0000, disc_adaptive_weight 4.1211, codebook_loss 0.6467, utilization 0.0018, perplexity 20.0396, d_loss 0.0000, logits_real -0.2058, logits_fake -0.2071,
Train Epoch: [1/5] Iters:[670/40036] gen_loss 0.5508, rec_loss 0.0697, lpips_loss 0.4811, g_loss 0.2113, disc_weight 0.0000, disc_adaptive_weight 4.0368, codebook_loss 0.6533, utilization 0.0018, perplexity 20.1462, d_loss 0.0000, logits_real -0.2083, logits_fake -0.2079,
Train Epoch: [1/5] Iters:[680/40036] gen_loss 0.5487, rec_loss 0.0687, lpips_loss 0.4800, g_loss 0.2142, disc_weight 0.0000, disc_adaptive_weight 3.7771, codebook_loss 0.6635, utilization 0.0018, perplexity 20.4513, d_loss 0.0000, logits_real -0.2093, logits_fake -0.2107,
