Train Epoch: [1/5] Iters:[510/20018] gen_loss 0.3243, rec_loss 0.0337, lpips_loss 0.2906, g_loss 0.2123, disc_weight 0.0000, disc_adaptive_weight 2.6241, codebook_loss 0.1200, utilization 0.1238, perplexity 6206.6410, d_loss 0.0000, logits_real -0.2106, logits_fake -0.2130,
Train Epoch: [1/5] Iters:[520/20018] gen_loss 0.3216, rec_loss 0.0337, lpips_loss 0.2878, g_loss 0.2129, disc_weight 0.0000, disc_adaptive_weight 2.7383, codebook_loss 0.1189, utilization 0.1235, perplexity 6186.4789, d_loss 0.0000, logits_real -0.2112, logits_fake -0.2129,
Train Epoch: [1/5] Iters:[530/20018] gen_loss 0.3209, rec_loss 0.0339, lpips_loss 0.2870, g_loss 0.2126, disc_weight 0.0000, disc_adaptive_weight 2.7854, codebook_loss 0.1185, utilization 0.1232, perplexity 6166.6140, d_loss 0.0000, logits_real -0.2101, logits_fake -0.2127,
Train Epoch: [1/5] Iters:[540/20018] gen_loss 0.3221, rec_loss 0.0343, lpips_loss 0.2877, g_loss 0.2110, disc_weight 0.0000, disc_adaptive_weight 2.7763, codebook_loss 0.1184, utilization 0.1234, perplexity 6176.6809, d_loss 0.0000, logits_real -0.2087, logits_fake -0.2109,
Train Epoch: [1/5] Iters:[550/20018] gen_loss 0.3227, rec_loss 0.0344, lpips_loss 0.2883, g_loss 0.2100, disc_weight 0.0000, disc_adaptive_weight 2.7792, codebook_loss 0.1182, utilization 0.1235, perplexity 6190.2560, d_loss 0.0000, logits_real -0.2077, logits_fake -0.2100,
Train Epoch: [1/5] Iters:[560/20018] gen_loss 0.3235, rec_loss 0.0342, lpips_loss 0.2893, g_loss 0.2067, disc_weight 0.0000, disc_adaptive_weight 2.9765, codebook_loss 0.1176, utilization 0.1235, perplexity 6186.6329, d_loss 0.0000, logits_real -0.2073, logits_fake -0.2067,
Train Epoch: [1/5] Iters:[570/20018] gen_loss 0.3242, rec_loss 0.0342, lpips_loss 0.2900, g_loss 0.2063, disc_weight 0.0000, disc_adaptive_weight 2.8517, codebook_loss 0.1174, utilization 0.1236, perplexity 6196.8535, d_loss 0.0000, logits_real -0.2064, logits_fake -0.2075,
Train Epoch: [1/5] Iters:[580/20018] gen_loss 0.3234, rec_loss 0.0338, lpips_loss 0.2896, g_loss 0.2059, disc_weight 0.0000, disc_adaptive_weight 3.0164, codebook_loss 0.1178, utilization 0.1238, perplexity 6197.0517, d_loss 0.0000, logits_real -0.2072, logits_fake -0.2076,
Train Epoch: [1/5] Iters:[590/20018] gen_loss 0.3235, rec_loss 0.0339, lpips_loss 0.2896, g_loss 0.2057, disc_weight 0.0000, disc_adaptive_weight 3.0404, codebook_loss 0.1173, utilization 0.1237, perplexity 6204.0536, d_loss 0.0000, logits_real -0.2059, logits_fake -0.2078,
Train Epoch: [1/5] Iters:[600/20018] gen_loss 0.3227, rec_loss 0.0335, lpips_loss 0.2892, g_loss 0.2075, disc_weight 0.0000, disc_adaptive_weight 3.0514, codebook_loss 0.1169, utilization 0.1237, perplexity 6220.1524, d_loss 0.0000, logits_real -0.2059, logits_fake -0.2105,
Train Epoch: [1/5] Iters:[610/20018] gen_loss 0.3216, rec_loss 0.0337, lpips_loss 0.2879, g_loss 0.2076, disc_weight 0.0000, disc_adaptive_weight 2.8242, codebook_loss 0.1170, utilization 0.1237, perplexity 6226.5751, d_loss 0.0000, logits_real -0.2043, logits_fake -0.2096,
Train Epoch: [1/5] Iters:[620/20018] gen_loss 0.3209, rec_loss 0.0337, lpips_loss 0.2872, g_loss 0.2093, disc_weight 0.0000, disc_adaptive_weight 2.8466, codebook_loss 0.1169, utilization 0.1239, perplexity 6244.9575, d_loss 0.0000, logits_real -0.2045, logits_fake -0.2098,
Train Epoch: [1/5] Iters:[630/20018] gen_loss 0.3196, rec_loss 0.0335, lpips_loss 0.2861, g_loss 0.2109, disc_weight 0.0000, disc_adaptive_weight 2.7394, codebook_loss 0.1162, utilization 0.1236, perplexity 6223.5366, d_loss 0.0000, logits_real -0.2066, logits_fake -0.2115,
Train Epoch: [1/5] Iters:[640/20018] gen_loss 0.3187, rec_loss 0.0332, lpips_loss 0.2856, g_loss 0.2134, disc_weight 0.0000, disc_adaptive_weight 2.7294, codebook_loss 0.1160, utilization 0.1237, perplexity 6243.0737, d_loss 0.0000, logits_real -0.2078, logits_fake -0.2130,
Train Epoch: [1/5] Iters:[650/20018] gen_loss 0.3185, rec_loss 0.0334, lpips_loss 0.2851, g_loss 0.2118, disc_weight 0.0000, disc_adaptive_weight 2.7211, codebook_loss 0.1162, utilization 0.1237, perplexity 6239.4666, d_loss 0.0000, logits_real -0.2089, logits_fake -0.2119,
Train Epoch: [1/5] Iters:[660/20018] gen_loss 0.3179, rec_loss 0.0331, lpips_loss 0.2847, g_loss 0.2140, disc_weight 0.0000, disc_adaptive_weight 2.9816, codebook_loss 0.1157, utilization 0.1236, perplexity 6226.9144, d_loss 0.0000, logits_real -0.2109, logits_fake -0.2150,
Train Epoch: [1/5] Iters:[670/20018] gen_loss 0.3185, rec_loss 0.0330, lpips_loss 0.2855, g_loss 0.2122, disc_weight 0.0000, disc_adaptive_weight 2.9975, codebook_loss 0.1160, utilization 0.1237, perplexity 6241.5619, d_loss 0.0000, logits_real -0.2113, logits_fake -0.2149,
Train Epoch: [1/5] Iters:[680/20018] gen_loss 0.3193, rec_loss 0.0332, lpips_loss 0.2861, g_loss 0.2126, disc_weight 0.0000, disc_adaptive_weight 2.9252, codebook_loss 0.1161, utilization 0.1239, perplexity 6254.6197, d_loss 0.0000, logits_real -0.2107, logits_fake -0.2145,
