Train Epoch: [1/5] Iters:[480/20018] gen_loss 0.3837, rec_loss 0.0388, lpips_loss 0.3449, g_loss -0.0297, disc_weight 0.0000, disc_adaptive_weight 4.2228, codebook_loss 0.3824, utilization 0.0414, perplexity 1510.8275, d_loss 0.0000, logits_real 0.0284, logits_fake 0.0287,
Train Epoch: [1/5] Iters:[490/20018] gen_loss 0.3811, rec_loss 0.0381, lpips_loss 0.3430, g_loss -0.0302, disc_weight 0.0000, disc_adaptive_weight 4.0464, codebook_loss 0.3806, utilization 0.0416, perplexity 1516.9831, d_loss 0.0000, logits_real 0.0280, logits_fake 0.0295,
Train Epoch: [1/5] Iters:[500/20018] gen_loss 0.3811, rec_loss 0.0384, lpips_loss 0.3427, g_loss -0.0313, disc_weight 0.0000, disc_adaptive_weight 4.1291, codebook_loss 0.3809, utilization 0.0418, perplexity 1525.0865, d_loss 0.0000, logits_real 0.0305, logits_fake 0.0312,
Train Epoch: [1/5] Iters:[510/20018] gen_loss 0.3825, rec_loss 0.0386, lpips_loss 0.3440, g_loss -0.0319, disc_weight 0.0000, disc_adaptive_weight 3.9184, codebook_loss 0.3813, utilization 0.0418, perplexity 1529.6872, d_loss 0.0000, logits_real 0.0321, logits_fake 0.0328,
Train Epoch: [1/5] Iters:[520/20018] gen_loss 0.3797, rec_loss 0.0386, lpips_loss 0.3411, g_loss -0.0343, disc_weight 0.0000, disc_adaptive_weight 3.7123, codebook_loss 0.3779, utilization 0.0418, perplexity 1527.7516, d_loss 0.0000, logits_real 0.0323, logits_fake 0.0356,
Train Epoch: [1/5] Iters:[530/20018] gen_loss 0.3794, rec_loss 0.0387, lpips_loss 0.3407, g_loss -0.0350, disc_weight 0.0000, disc_adaptive_weight 3.7875, codebook_loss 0.3766, utilization 0.0419, perplexity 1529.8174, d_loss 0.0000, logits_real 0.0327, logits_fake 0.0357,
Train Epoch: [1/5] Iters:[540/20018] gen_loss 0.3804, rec_loss 0.0392, lpips_loss 0.3412, g_loss -0.0357, disc_weight 0.0000, disc_adaptive_weight 3.9063, codebook_loss 0.3757, utilization 0.0419, perplexity 1533.6825, d_loss 0.0000, logits_real 0.0336, logits_fake 0.0356,
Train Epoch: [1/5] Iters:[550/20018] gen_loss 0.3804, rec_loss 0.0392, lpips_loss 0.3412, g_loss -0.0345, disc_weight 0.0000, disc_adaptive_weight 3.8696, codebook_loss 0.3747, utilization 0.0420, perplexity 1533.7080, d_loss 0.0000, logits_real 0.0322, logits_fake 0.0347,
Train Epoch: [1/5] Iters:[560/20018] gen_loss 0.3803, rec_loss 0.0389, lpips_loss 0.3415, g_loss -0.0329, disc_weight 0.0000, disc_adaptive_weight 4.1144, codebook_loss 0.3706, utilization 0.0420, perplexity 1535.0127, d_loss 0.0000, logits_real 0.0308, logits_fake 0.0323,
Train Epoch: [1/5] Iters:[570/20018] gen_loss 0.3806, rec_loss 0.0388, lpips_loss 0.3417, g_loss -0.0331, disc_weight 0.0000, disc_adaptive_weight 4.0146, codebook_loss 0.3702, utilization 0.0422, perplexity 1542.3414, d_loss 0.0000, logits_real 0.0310, logits_fake 0.0318,
Train Epoch: [1/5] Iters:[580/20018] gen_loss 0.3801, rec_loss 0.0386, lpips_loss 0.3415, g_loss -0.0345, disc_weight 0.0000, disc_adaptive_weight 4.0476, codebook_loss 0.3723, utilization 0.0424, perplexity 1550.7748, d_loss 0.0000, logits_real 0.0325, logits_fake 0.0326,
Train Epoch: [1/5] Iters:[590/20018] gen_loss 0.3798, rec_loss 0.0387, lpips_loss 0.3411, g_loss -0.0354, disc_weight 0.0000, disc_adaptive_weight 4.0492, codebook_loss 0.3709, utilization 0.0425, perplexity 1556.9094, d_loss 0.0000, logits_real 0.0329, logits_fake 0.0332,
Train Epoch: [1/5] Iters:[600/20018] gen_loss 0.3786, rec_loss 0.0382, lpips_loss 0.3404, g_loss -0.0386, disc_weight 0.0000, disc_adaptive_weight 3.9621, codebook_loss 0.3697, utilization 0.0426, perplexity 1559.9514, d_loss 0.0000, logits_real 0.0350, logits_fake 0.0356,
Train Epoch: [1/5] Iters:[610/20018] gen_loss 0.3770, rec_loss 0.0384, lpips_loss 0.3385, g_loss -0.0387, disc_weight 0.0000, disc_adaptive_weight 3.6333, codebook_loss 0.3711, utilization 0.0426, perplexity 1563.1009, d_loss 0.0000, logits_real 0.0348, logits_fake 0.0366,
Train Epoch: [1/5] Iters:[620/20018] gen_loss 0.3769, rec_loss 0.0385, lpips_loss 0.3384, g_loss -0.0372, disc_weight 0.0000, disc_adaptive_weight 3.7392, codebook_loss 0.3716, utilization 0.0428, perplexity 1571.8947, d_loss 0.0000, logits_real 0.0346, logits_fake 0.0357,
Train Epoch: [1/5] Iters:[630/20018] gen_loss 0.3749, rec_loss 0.0381, lpips_loss 0.3368, g_loss -0.0365, disc_weight 0.0000, disc_adaptive_weight 3.6915, codebook_loss 0.3704, utilization 0.0429, perplexity 1576.8551, d_loss 0.0000, logits_real 0.0340, logits_fake 0.0360,
Train Epoch: [1/5] Iters:[640/20018] gen_loss 0.3741, rec_loss 0.0377, lpips_loss 0.3364, g_loss -0.0345, disc_weight 0.0000, disc_adaptive_weight 3.6373, codebook_loss 0.3707, utilization 0.0429, perplexity 1580.4734, d_loss 0.0000, logits_real 0.0336, logits_fake 0.0352,
Train Epoch: [1/5] Iters:[650/20018] gen_loss 0.3743, rec_loss 0.0380, lpips_loss 0.3363, g_loss -0.0321, disc_weight 0.0000, disc_adaptive_weight 3.4524, codebook_loss 0.3711, utilization 0.0430, perplexity 1585.3759, d_loss 0.0000, logits_real 0.0323, logits_fake 0.0333,
Train Epoch: [1/5] Iters:[660/20018] gen_loss 0.3738, rec_loss 0.0377, lpips_loss 0.3361, g_loss -0.0339, disc_weight 0.0000, disc_adaptive_weight 3.3836, codebook_loss 0.3695, utilization 0.0430, perplexity 1589.1738, d_loss 0.0000, logits_real 0.0326, logits_fake 0.0336,
Train Epoch: [1/5] Iters:[670/20018] gen_loss 0.3745, rec_loss 0.0375, lpips_loss 0.3371, g_loss -0.0320, disc_weight 0.0000, disc_adaptive_weight 3.3093, codebook_loss 0.3698, utilization 0.0430, perplexity 1587.2114, d_loss 0.0000, logits_real 0.0303, logits_fake 0.0321,
Train Epoch: [1/5] Iters:[680/20018] gen_loss 0.3747, rec_loss 0.0376, lpips_loss 0.3371, g_loss -0.0323, disc_weight 0.0000, disc_adaptive_weight 3.3695, codebook_loss 0.3687, utilization 0.0430, perplexity 1586.7365, d_loss 0.0000, logits_real 0.0309, logits_fake 0.0322,
Train Epoch: [1/5] Iters:[690/20018] gen_loss 0.3747, rec_loss 0.0376, lpips_loss 0.3371, g_loss -0.0330, disc_weight 0.0000, disc_adaptive_weight 3.5698, codebook_loss 0.3683, utilization 0.0430, perplexity 1585.1437, d_loss 0.0000, logits_real 0.0308, logits_fake 0.0322,
Train Epoch: [1/5] Iters:[700/20018] gen_loss 0.3741, rec_loss 0.0378, lpips_loss 0.3363, g_loss -0.0352, disc_weight 0.0000, disc_adaptive_weight 3.8987, codebook_loss 0.3682, utilization 0.0431, perplexity 1589.8148, d_loss 0.0000, logits_real 0.0322, logits_fake 0.0341,
Train Epoch: [1/5] Iters:[710/20018] gen_loss 0.3738, rec_loss 0.0379, lpips_loss 0.3359, g_loss -0.0335, disc_weight 0.0000, disc_adaptive_weight 4.2813, codebook_loss 0.3685, utilization 0.0431, perplexity 1591.3393, d_loss 0.0000, logits_real 0.0318, logits_fake 0.0331,
