Train Epoch: [1/5] Iters:[540/20018] gen_loss 0.2884, rec_loss 0.0314, lpips_loss 0.2571, g_loss 0.2022, disc_weight 0.0000, disc_adaptive_weight 2.6741, codebook_loss 0.6942, utilization 0.2038, perplexity 12053.5140, d_loss 0.0000, logits_real -0.2001, logits_fake -0.2013,
Train Epoch: [1/5] Iters:[550/20018] gen_loss 0.2892, rec_loss 0.0316, lpips_loss 0.2576, g_loss 0.2027, disc_weight 0.0000, disc_adaptive_weight 2.6986, codebook_loss 0.6944, utilization 0.2040, perplexity 12077.9959, d_loss 0.0000, logits_real -0.2007, logits_fake -0.2025,
Train Epoch: [1/5] Iters:[560/20018] gen_loss 0.2897, rec_loss 0.0313, lpips_loss 0.2584, g_loss 0.2013, disc_weight 0.0000, disc_adaptive_weight 2.8328, codebook_loss 0.6922, utilization 0.2040, perplexity 12080.1507, d_loss 0.0000, logits_real -0.2005, logits_fake -0.2008,
Train Epoch: [1/5] Iters:[570/20018] gen_loss 0.2899, rec_loss 0.0311, lpips_loss 0.2588, g_loss 0.2020, disc_weight 0.0000, disc_adaptive_weight 2.9423, codebook_loss 0.6927, utilization 0.2041, perplexity 12084.6673, d_loss 0.0000, logits_real -0.2024, logits_fake -0.2020,
Train Epoch: [1/5] Iters:[580/20018] gen_loss 0.2890, rec_loss 0.0307, lpips_loss 0.2582, g_loss 0.2038, disc_weight 0.0000, disc_adaptive_weight 2.9110, codebook_loss 0.6930, utilization 0.2039, perplexity 12053.0528, d_loss 0.0000, logits_real -0.2036, logits_fake -0.2040,
Train Epoch: [1/5] Iters:[590/20018] gen_loss 0.2892, rec_loss 0.0307, lpips_loss 0.2585, g_loss 0.2036, disc_weight 0.0000, disc_adaptive_weight 2.8474, codebook_loss 0.6873, utilization 0.2040, perplexity 12062.7183, d_loss 0.0000, logits_real -0.2041, logits_fake -0.2036,
Train Epoch: [1/5] Iters:[600/20018] gen_loss 0.2883, rec_loss 0.0303, lpips_loss 0.2580, g_loss 0.2031, disc_weight 0.0000, disc_adaptive_weight 2.8765, codebook_loss 0.6873, utilization 0.2042, perplexity 12090.1236, d_loss 0.0000, logits_real -0.2027, logits_fake -0.2026,
Train Epoch: [1/5] Iters:[610/20018] gen_loss 0.2875, rec_loss 0.0305, lpips_loss 0.2570, g_loss 0.2035, disc_weight 0.0000, disc_adaptive_weight 2.6475, codebook_loss 0.6894, utilization 0.2041, perplexity 12081.0173, d_loss 0.0000, logits_real -0.2024, logits_fake -0.2036,
Train Epoch: [1/5] Iters:[620/20018] gen_loss 0.2872, rec_loss 0.0306, lpips_loss 0.2566, g_loss 0.2044, disc_weight 0.0000, disc_adaptive_weight 2.6129, codebook_loss 0.6869, utilization 0.2044, perplexity 12112.3816, d_loss 0.0000, logits_real -0.2023, logits_fake -0.2045,
Train Epoch: [1/5] Iters:[630/20018] gen_loss 0.2864, rec_loss 0.0305, lpips_loss 0.2559, g_loss 0.2025, disc_weight 0.0000, disc_adaptive_weight 2.6399, codebook_loss 0.6899, utilization 0.2043, perplexity 12112.6876, d_loss 0.0000, logits_real -0.2017, logits_fake -0.2028,
Train Epoch: [1/5] Iters:[640/20018] gen_loss 0.2858, rec_loss 0.0303, lpips_loss 0.2555, g_loss 0.2003, disc_weight 0.0000, disc_adaptive_weight 2.6171, codebook_loss 0.6898, utilization 0.2044, perplexity 12143.0604, d_loss 0.0000, logits_real -0.1990, logits_fake -0.2006,
Train Epoch: [1/5] Iters:[650/20018] gen_loss 0.2859, rec_loss 0.0305, lpips_loss 0.2555, g_loss 0.1998, disc_weight 0.0000, disc_adaptive_weight 2.4967, codebook_loss 0.6879, utilization 0.2042, perplexity 12137.5690, d_loss 0.0000, logits_real -0.1992, logits_fake -0.1999,
Train Epoch: [1/5] Iters:[660/20018] gen_loss 0.2853, rec_loss 0.0301, lpips_loss 0.2552, g_loss 0.2000, disc_weight 0.0000, disc_adaptive_weight 2.4923, codebook_loss 0.6843, utilization 0.2042, perplexity 12141.2345, d_loss 0.0000, logits_real -0.1992, logits_fake -0.1995,
Train Epoch: [1/5] Iters:[670/20018] gen_loss 0.2862, rec_loss 0.0299, lpips_loss 0.2562, g_loss 0.2002, disc_weight 0.0000, disc_adaptive_weight 2.5580, codebook_loss 0.6885, utilization 0.2044, perplexity 12169.3618, d_loss 0.0000, logits_real -0.1992, logits_fake -0.1999,
Train Epoch: [1/5] Iters:[680/20018] gen_loss 0.2864, rec_loss 0.0301, lpips_loss 0.2563, g_loss 0.2004, disc_weight 0.0000, disc_adaptive_weight 2.4800, codebook_loss 0.6881, utilization 0.2045, perplexity 12168.5187, d_loss 0.0000, logits_real -0.1977, logits_fake -0.1998,
Train Epoch: [1/5] Iters:[690/20018] gen_loss 0.2861, rec_loss 0.0300, lpips_loss 0.2561, g_loss 0.2008, disc_weight 0.0000, disc_adaptive_weight 2.7871, codebook_loss 0.6875, utilization 0.2043, perplexity 12152.3957, d_loss 0.0000, logits_real -0.1980, logits_fake -0.1997,
Train Epoch: [1/5] Iters:[700/20018] gen_loss 0.2858, rec_loss 0.0303, lpips_loss 0.2555, g_loss 0.2007, disc_weight 0.0000, disc_adaptive_weight 2.8530, codebook_loss 0.6910, utilization 0.2042, perplexity 12121.2798, d_loss 0.0000, logits_real -0.1974, logits_fake -0.1994,
Train Epoch: [1/5] Iters:[710/20018] gen_loss 0.2861, rec_loss 0.0305, lpips_loss 0.2556, g_loss 0.2017, disc_weight 0.0000, disc_adaptive_weight 3.1138, codebook_loss 0.6945, utilization 0.2042, perplexity 12114.5902, d_loss 0.0000, logits_real -0.1977, logits_fake -0.2010,
Train Epoch: [1/5] Iters:[720/20018] gen_loss 0.2846, rec_loss 0.0304, lpips_loss 0.2542, g_loss 0.1997, disc_weight 0.0000, disc_adaptive_weight 3.0695, codebook_loss 0.6890, utilization 0.2041, perplexity 12087.9914, d_loss 0.0000, logits_real -0.1955, logits_fake -0.1983,
Train Epoch: [1/5] Iters:[730/20018] gen_loss 0.2860, rec_loss 0.0308, lpips_loss 0.2552, g_loss 0.1994, disc_weight 0.0000, disc_adaptive_weight 3.1490, codebook_loss 0.6860, utilization 0.2042, perplexity 12118.4023, d_loss 0.0000, logits_real -0.1965, logits_fake -0.1983,
Train Epoch: [1/5] Iters:[740/20018] gen_loss 0.2875, rec_loss 0.0313, lpips_loss 0.2562, g_loss 0.2021, disc_weight 0.0000, disc_adaptive_weight 2.9002, codebook_loss 0.6868, utilization 0.2041, perplexity 12090.5323, d_loss 0.0000, logits_real -0.1993, logits_fake -0.2015,
Train Epoch: [1/5] Iters:[750/20018] gen_loss 0.2858, rec_loss 0.0307, lpips_loss 0.2551, g_loss 0.2025, disc_weight 0.0000, disc_adaptive_weight 2.7796, codebook_loss 0.6821, utilization 0.2039, perplexity 12065.8704, d_loss 0.0000, logits_real -0.1994, logits_fake -0.2026,
Train Epoch: [1/5] Iters:[760/20018] gen_loss 0.2859, rec_loss 0.0304, lpips_loss 0.2556, g_loss 0.2017, disc_weight 0.0000, disc_adaptive_weight 2.5756, codebook_loss 0.6810, utilization 0.2041, perplexity 12087.1553, d_loss 0.0000, logits_real -0.2002, logits_fake -0.2021,
Train Epoch: [1/5] Iters:[770/20018] gen_loss 0.2857, rec_loss 0.0303, lpips_loss 0.2554, g_loss 0.2009, disc_weight 0.0000, disc_adaptive_weight 2.5706, codebook_loss 0.6785, utilization 0.2038, perplexity 12046.3859, d_loss 0.0000, logits_real -0.1996, logits_fake -0.2017,
Train Epoch: [1/5] Iters:[780/20018] gen_loss 0.2847, rec_loss 0.0300, lpips_loss 0.2547, g_loss 0.2000, disc_weight 0.0000, disc_adaptive_weight 2.5174, codebook_loss 0.6811, utilization 0.2038, perplexity 12038.5784, d_loss 0.0000, logits_real -0.1990, logits_fake -0.2013,
Train Epoch: [1/5] Iters:[790/20018] gen_loss 0.2839, rec_loss 0.0298, lpips_loss 0.2541, g_loss 0.1990, disc_weight 0.0000, disc_adaptive_weight 2.5445, codebook_loss 0.6860, utilization 0.2041, perplexity 12075.5859, d_loss 0.0000, logits_real -0.1972, logits_fake -0.1992,
Train Epoch: [1/5] Iters:[800/20018] gen_loss 0.2858, rec_loss 0.0301, lpips_loss 0.2556, g_loss 0.1975, disc_weight 0.0000, disc_adaptive_weight 2.5148, codebook_loss 0.6890, utilization 0.2042, perplexity 12086.4548, d_loss 0.0000, logits_real -0.1964, logits_fake -0.1970,
