dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 8
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8
max_patch_size: 8
codebook_size: 16384
codebook_dim: 8
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
disc_weight: 0.2
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: ema_vq
use_multiscale: False
transplant_epochs: 5
refinement_epochs: 5
eval_epochs: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 0.0001
stage: transplant
checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/Transplant/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/results/Transplant/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/saver/Transplant/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/reconstruction/Transplant/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/yaml/Transplant/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/VQ-Transplant/pretrained_tokenizer/dc-ae-f32c32-sana-1.0.safetensors
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 1
batch_size: 64
ms_token_size: (1, 2, 3, 4, 5, 6, 8)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/
data_pre: ImageNet
model_pre: model_16384_8_1
loss_pre: loss_1.0_1.0_0.0_0.2
training_pre: ema_vq_transplant_False
saver_name_pre: ema_vq_transplant_False_ImageNet_model_16384_8_1_loss_1.0_1.0_0.0_0.2
| distributed init (rank 0): env://
VQ Model Parameters: 312250275
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/5] Iters:[950/20018] transplant_loss 0.8438, rec_loss 0.0377, quant_error 0.2200,
Train Epoch: [1/5] Iters:[960/20018] transplant_loss 0.8417, rec_loss 0.0373, quant_error 0.2196,
Train Epoch: [1/5] Iters:[970/20018] transplant_loss 0.8393, rec_loss 0.0376, quant_error 0.2194,
Train Epoch: [1/5] Iters:[980/20018] transplant_loss 0.8361, rec_loss 0.0384, quant_error 0.2185,
Train Epoch: [1/5] Iters:[990/20018] transplant_loss 0.8338, rec_loss 0.0381, quant_error 0.2177,
Train Epoch: [1/5] Iters:[1000/20018] transplant_loss 0.8321, rec_loss 0.0387, quant_error 0.2171,
Train Epoch: [1/5] Iters:[1010/20018] transplant_loss 0.8315, rec_loss 0.0386, quant_error 0.2170,
Train Epoch: [1/5] Iters:[1020/20018] transplant_loss 0.8303, rec_loss 0.0384, quant_error 0.2170,
Train Epoch: [1/5] Iters:[1030/20018] transplant_loss 0.8298, rec_loss 0.0381, quant_error 0.2171,
Train Epoch: [1/5] Iters:[1040/20018] transplant_loss 0.8289, rec_loss 0.0385, quant_error 0.2172,
Train Epoch: [1/5] Iters:[1050/20018] transplant_loss 0.8275, rec_loss 0.0382, quant_error 0.2170,
Train Epoch: [1/5] Iters:[1060/20018] transplant_loss 0.8257, rec_loss 0.0381, quant_error 0.2164,
Train Epoch: [1/5] Iters:[1070/20018] transplant_loss 0.8253, rec_loss 0.0378, quant_error 0.2163,
Train Epoch: [1/5] Iters:[1080/20018] transplant_loss 0.8249, rec_loss 0.0381, quant_error 0.2162,
Train Epoch: [1/5] Iters:[1090/20018] transplant_loss 0.8235, rec_loss 0.0379, quant_error 0.2155,
Train Epoch: [1/5] Iters:[1100/20018] transplant_loss 0.8219, rec_loss 0.0381, quant_error 0.2152,
Train Epoch: [1/5] Iters:[1110/20018] transplant_loss 0.8218, rec_loss 0.0380, quant_error 0.2155,
Train Epoch: [1/5] Iters:[1120/20018] transplant_loss 0.8223, rec_loss 0.0386, quant_error 0.2159,
Train Epoch: [1/5] Iters:[1130/20018] transplant_loss 0.8210, rec_loss 0.0377, quant_error 0.2154,
Train Epoch: [1/5] Iters:[1140/20018] transplant_loss 0.8221, rec_loss 0.0377, quant_error 0.2160,
Train Epoch: [1/5] Iters:[1150/20018] transplant_loss 0.8228, rec_loss 0.0378, quant_error 0.2162,
Train Epoch: [1/5] Iters:[1160/20018] transplant_loss 0.8225, rec_loss 0.0385, quant_error 0.2160,
Train Epoch: [1/5] Iters:[1170/20018] transplant_loss 0.8223, rec_loss 0.0380, quant_error 0.2161,
Train Epoch: [1/5] Iters:[1180/20018] transplant_loss 0.8216, rec_loss 0.0383, quant_error 0.2160,
Train Epoch: [1/5] Iters:[1190/20018] transplant_loss 0.8205, rec_loss 0.0384, quant_error 0.2160,
Train Epoch: [1/5] Iters:[1200/20018] transplant_loss 0.8187, rec_loss 0.0385, quant_error 0.2158,
Train Epoch: [1/5] Iters:[1210/20018] transplant_loss 0.8157, rec_loss 0.0379, quant_error 0.2150,
Train Epoch: [1/5] Iters:[1220/20018] transplant_loss 0.8113, rec_loss 0.0380, quant_error 0.2131,
Train Epoch: [1/5] Iters:[1230/20018] transplant_loss 0.8106, rec_loss 0.0384, quant_error 0.2134,
Train Epoch: [1/5] Iters:[1240/20018] transplant_loss 0.8104, rec_loss 0.0382, quant_error 0.2132,
Train Epoch: [1/5] Iters:[1250/20018] transplant_loss 0.8113, rec_loss 0.0378, quant_error 0.2133,
Train Epoch: [1/5] Iters:[1260/20018] transplant_loss 0.8114, rec_loss 0.0383, quant_error 0.2137,
Train Epoch: [1/5] Iters:[1270/20018] transplant_loss 0.8126, rec_loss 0.0381, quant_error 0.2144,
Train Epoch: [1/5] Iters:[1280/20018] transplant_loss 0.8129, rec_loss 0.0384, quant_error 0.2147,
Train Epoch: [1/5] Iters:[1290/20018] transplant_loss 0.8108, rec_loss 0.0388, quant_error 0.2142,
Train Epoch: [1/5] Iters:[1300/20018] transplant_loss 0.8091, rec_loss 0.0388, quant_error 0.2136,
Train Epoch: [1/5] Iters:[1310/20018] transplant_loss 0.8089, rec_loss 0.0390, quant_error 0.2138,
Train Epoch: [1/5] Iters:[1320/20018] transplant_loss 0.8084, rec_loss 0.0396, quant_error 0.2138,
Train Epoch: [1/5] Iters:[1330/20018] transplant_loss 0.8068, rec_loss 0.0388, quant_error 0.2131,
Train Epoch: [1/5] Iters:[1340/20018] transplant_loss 0.8054, rec_loss 0.0385, quant_error 0.2126,
Train Epoch: [1/5] Iters:[1350/20018] transplant_loss 0.8040, rec_loss 0.0383, quant_error 0.2121,
Train Epoch: [1/5] Iters:[1360/20018] transplant_loss 0.8023, rec_loss 0.0376, quant_error 0.2119,
Train Epoch: [1/5] Iters:[1370/20018] transplant_loss 0.8016, rec_loss 0.0377, quant_error 0.2118,
Train Epoch: [1/5] Iters:[1380/20018] transplant_loss 0.8004, rec_loss 0.0375, quant_error 0.2115,
Train Epoch: [1/5] Iters:[1390/20018] transplant_loss 0.8006, rec_loss 0.0375, quant_error 0.2118,
Train Epoch: [1/5] Iters:[1400/20018] transplant_loss 0.8015, rec_loss 0.0381, quant_error 0.2123,
Train Epoch: [1/5] Iters:[1410/20018] transplant_loss 0.8020, rec_loss 0.0383, quant_error 0.2124,
Train Epoch: [1/5] Iters:[1420/20018] transplant_loss 0.8005, rec_loss 0.0376, quant_error 0.2120,
Train Epoch: [1/5] Iters:[1430/20018] transplant_loss 0.7992, rec_loss 0.0378, quant_error 0.2116,
Train Epoch: [1/5] Iters:[1440/20018] transplant_loss 0.7986, rec_loss 0.0377, quant_error 0.2115,
Train Epoch: [1/5] Iters:[1450/20018] transplant_loss 0.7966, rec_loss 0.0367, quant_error 0.2111,
Train Epoch: [1/5] Iters:[1460/20018] transplant_loss 0.7951, rec_loss 0.0364, quant_error 0.2108,
Train Epoch: [1/5] Iters:[1470/20018] transplant_loss 0.7935, rec_loss 0.0370, quant_error 0.2097,
Train Epoch: [1/5] Iters:[1480/20018] transplant_loss 0.7930, rec_loss 0.0372, quant_error 0.2099,
Train Epoch: [1/5] Iters:[1490/20018] transplant_loss 0.7930, rec_loss 0.0371, quant_error 0.2098,
Train Epoch: [1/5] Iters:[1500/20018] transplant_loss 0.7927, rec_loss 0.0376, quant_error 0.2099,
Train Epoch: [1/5] Iters:[1510/20018] transplant_loss 0.7930, rec_loss 0.0384, quant_error 0.2102,
Train Epoch: [1/5] Iters:[1520/20018] transplant_loss 0.7925, rec_loss 0.0380, quant_error 0.2107,
Train Epoch: [1/5] Iters:[1530/20018] transplant_loss 0.7908, rec_loss 0.0380, quant_error 0.2103,
Train Epoch: [1/5] Iters:[1540/20018] transplant_loss 0.7894, rec_loss 0.0386, quant_error 0.2101,
Train Epoch: [1/5] Iters:[1550/20018] transplant_loss 0.7876, rec_loss 0.0386, quant_error 0.2095,
Train Epoch: [1/5] Iters:[1560/20018] transplant_loss 0.7848, rec_loss 0.0382, quant_error 0.2086,
Train Epoch: [1/5] Iters:[1570/20018] transplant_loss 0.7834, rec_loss 0.0380, quant_error 0.2083,
Train Epoch: [1/5] Iters:[1580/20018] transplant_loss 0.7828, rec_loss 0.0378, quant_error 0.2080,
Train Epoch: [1/5] Iters:[1590/20018] transplant_loss 0.7802, rec_loss 0.0378, quant_error 0.2068,
Train Epoch: [1/5] Iters:[1600/20018] transplant_loss 0.7802, rec_loss 0.0380, quant_error 0.2071,
Train Epoch: [1/5] Iters:[1610/20018] transplant_loss 0.7793, rec_loss 0.0382, quant_error 0.2069,
Train Epoch: [1/5] Iters:[1620/20018] transplant_loss 0.7784, rec_loss 0.0385, quant_error 0.2064,
Train Epoch: [1/5] Iters:[1630/20018] transplant_loss 0.7778, rec_loss 0.0386, quant_error 0.2066,
Train Epoch: [1/5] Iters:[1640/20018] transplant_loss 0.7767, rec_loss 0.0382, quant_error 0.2066,
Train Epoch: [1/5] Iters:[1650/20018] transplant_loss 0.7757, rec_loss 0.0380, quant_error 0.2061,
Train Epoch: [1/5] Iters:[1660/20018] transplant_loss 0.7753, rec_loss 0.0374, quant_error 0.2063,
Train Epoch: [1/5] Iters:[1670/20018] transplant_loss 0.7756, rec_loss 0.0371, quant_error 0.2069,
Train Epoch: [1/5] Iters:[1680/20018] transplant_loss 0.7735, rec_loss 0.0369, quant_error 0.2061,
Train Epoch: [1/5] Iters:[1690/20018] transplant_loss 0.7732, rec_loss 0.0371, quant_error 0.2063,
