Train Epoch: [1/30] Iters:[610/1093] gen_loss -0.3717, rec_loss 0.0118, lpips_loss 0.1463, g_loss -0.1238, disc_weight 0.4000, disc_adaptive_weight 4.2838, d_loss 0.4545, logits_real 0.1193, logits_fake 0.1240,
Train Epoch: [1/30] Iters:[620/1093] gen_loss -0.4118, rec_loss 0.0119, lpips_loss 0.1459, g_loss -0.1234, disc_weight 0.4000, disc_adaptive_weight 4.6173, d_loss 0.4528, logits_real 0.1186, logits_fake 0.1236,
Train Epoch: [1/30] Iters:[630/1093] gen_loss -0.4208, rec_loss 0.0120, lpips_loss 0.1464, g_loss -0.1229, disc_weight 0.4000, disc_adaptive_weight 4.7154, d_loss 0.4513, logits_real 0.1177, logits_fake 0.1233,
Train Epoch: [1/30] Iters:[640/1093] gen_loss -0.4261, rec_loss 0.0121, lpips_loss 0.1466, g_loss -0.1222, disc_weight 0.4000, disc_adaptive_weight 4.7841, d_loss 0.4497, logits_real 0.1169, logits_fake 0.1226,
Train Epoch: [1/30] Iters:[650/1093] gen_loss -0.3911, rec_loss 0.0119, lpips_loss 0.1464, g_loss -0.1215, disc_weight 0.4000, disc_adaptive_weight 4.5174, d_loss 0.4483, logits_real 0.1160, logits_fake 0.1219,
Train Epoch: [1/30] Iters:[660/1093] gen_loss -0.3729, rec_loss 0.0119, lpips_loss 0.1468, g_loss -0.1203, disc_weight 0.4000, disc_adaptive_weight 4.4106, d_loss 0.4469, logits_real 0.1149, logits_fake 0.1208,
Train Epoch: [1/30] Iters:[670/1093] gen_loss -0.3453, rec_loss 0.0118, lpips_loss 0.1469, g_loss -0.1190, disc_weight 0.4000, disc_adaptive_weight 4.2324, d_loss 0.4455, logits_real 0.1138, logits_fake 0.1195,
Train Epoch: [1/30] Iters:[680/1093] gen_loss -0.3335, rec_loss 0.0118, lpips_loss 0.1464, g_loss -0.1179, disc_weight 0.4000, disc_adaptive_weight 4.1732, d_loss 0.4441, logits_real 0.1128, logits_fake 0.1181,
Train Epoch: [1/30] Iters:[690/1093] gen_loss -0.3113, rec_loss 0.0117, lpips_loss 0.1461, g_loss -0.1168, disc_weight 0.4000, disc_adaptive_weight 4.0186, d_loss 0.4432, logits_real 0.1118, logits_fake 0.1170,
Train Epoch: [1/30] Iters:[700/1093] gen_loss -0.3444, rec_loss 0.0119, lpips_loss 0.1465, g_loss -0.1158, disc_weight 0.4000, disc_adaptive_weight 4.3443, d_loss 0.4421, logits_real 0.1107, logits_fake 0.1159,
Train Epoch: [1/30] Iters:[710/1093] gen_loss -0.3404, rec_loss 0.0119, lpips_loss 0.1466, g_loss -0.1149, disc_weight 0.4000, disc_adaptive_weight 4.3418, d_loss 0.4408, logits_real 0.1098, logits_fake 0.1148,
Train Epoch: [1/30] Iters:[720/1093] gen_loss -0.3422, rec_loss 0.0120, lpips_loss 0.1470, g_loss -0.1141, disc_weight 0.4000, disc_adaptive_weight 4.3939, d_loss 0.4396, logits_real 0.1090, logits_fake 0.1139,
Train Epoch: [1/30] Iters:[730/1093] gen_loss -0.3352, rec_loss 0.0121, lpips_loss 0.1473, g_loss -0.1132, disc_weight 0.4000, disc_adaptive_weight 4.3676, d_loss 0.4386, logits_real 0.1082, logits_fake 0.1130,
Train Epoch: [1/30] Iters:[740/1093] gen_loss -0.3366, rec_loss 0.0121, lpips_loss 0.1475, g_loss -0.1125, disc_weight 0.4000, disc_adaptive_weight 4.4067, d_loss 0.4374, logits_real 0.1076, logits_fake 0.1122,
Train Epoch: [1/30] Iters:[750/1093] gen_loss -0.3269, rec_loss 0.0121, lpips_loss 0.1471, g_loss -0.1116, disc_weight 0.4000, disc_adaptive_weight 4.3539, d_loss 0.4365, logits_real 0.1070, logits_fake 0.1114,
Train Epoch: [1/30] Iters:[760/1093] gen_loss -0.3206, rec_loss 0.0121, lpips_loss 0.1467, g_loss -0.1112, disc_weight 0.4000, disc_adaptive_weight 4.3095, d_loss 0.4355, logits_real 0.1066, logits_fake 0.1111,
Train Epoch: [1/30] Iters:[770/1093] gen_loss -0.3041, rec_loss 0.0121, lpips_loss 0.1461, g_loss -0.1106, disc_weight 0.4000, disc_adaptive_weight 4.1825, d_loss 0.4347, logits_real 0.1062, logits_fake 0.1106,
Train Epoch: [1/30] Iters:[780/1093] gen_loss -0.2988, rec_loss 0.0121, lpips_loss 0.1462, g_loss -0.1100, disc_weight 0.4000, disc_adaptive_weight 4.1581, d_loss 0.4340, logits_real 0.1058, logits_fake 0.1102,
Train Epoch: [1/30] Iters:[790/1093] gen_loss -0.3089, rec_loss 0.0121, lpips_loss 0.1464, g_loss -0.1096, disc_weight 0.4000, disc_adaptive_weight 4.2695, d_loss 0.4332, logits_real 0.1053, logits_fake 0.1097,
Train Epoch: [1/30] Iters:[800/1093] gen_loss -0.2863, rec_loss 0.0122, lpips_loss 0.1463, g_loss -0.1092, disc_weight 0.4000, disc_adaptive_weight 4.0755, d_loss 0.4322, logits_real 0.1049, logits_fake 0.1092,
Train Epoch: [1/30] Iters:[810/1093] gen_loss -0.2966, rec_loss 0.0120, lpips_loss 0.1458, g_loss -0.1082, disc_weight 0.4000, disc_adaptive_weight 4.2016, d_loss 0.4314, logits_real 0.1040, logits_fake 0.1084,
Train Epoch: [1/30] Iters:[820/1093] gen_loss -0.3104, rec_loss 0.0121, lpips_loss 0.1461, g_loss -0.1074, disc_weight 0.4000, disc_adaptive_weight 4.3657, d_loss 0.4308, logits_real 0.1029, logits_fake 0.1074,
Train Epoch: [1/30] Iters:[830/1093] gen_loss -0.3301, rec_loss 0.0121, lpips_loss 0.1467, g_loss -0.1065, disc_weight 0.4000, disc_adaptive_weight 4.5951, d_loss 0.4302, logits_real 0.1019, logits_fake 0.1065,
Train Epoch: [1/30] Iters:[840/1093] gen_loss -0.3697, rec_loss 0.0121, lpips_loss 0.1465, g_loss -0.1054, disc_weight 0.4000, disc_adaptive_weight 5.0227, d_loss 0.4295, logits_real 0.1007, logits_fake 0.1054,
Train Epoch: [1/30] Iters:[850/1093] gen_loss -0.4103, rec_loss 0.0122, lpips_loss 0.1469, g_loss -0.1046, disc_weight 0.4000, disc_adaptive_weight 5.4521, d_loss 0.4289, logits_real 0.0996, logits_fake 0.1044,
Train Epoch: [1/30] Iters:[860/1093] gen_loss -0.4153, rec_loss 0.0125, lpips_loss 0.1478, g_loss -0.1040, disc_weight 0.4000, disc_adaptive_weight 5.5373, d_loss 0.4284, logits_real 0.0989, logits_fake 0.1037,
Train Epoch: [1/30] Iters:[870/1093] gen_loss -0.4213, rec_loss 0.0124, lpips_loss 0.1476, g_loss -0.1033, disc_weight 0.4000, disc_adaptive_weight 5.6284, d_loss 0.4277, logits_real 0.0983, logits_fake 0.1029,
Train Epoch: [1/30] Iters:[880/1093] gen_loss -0.4260, rec_loss 0.0124, lpips_loss 0.1471, g_loss -0.1026, disc_weight 0.4000, disc_adaptive_weight 5.7069, d_loss 0.4270, logits_real 0.0977, logits_fake 0.1022,
Train Epoch: [1/30] Iters:[890/1093] gen_loss -0.4139, rec_loss 0.0125, lpips_loss 0.1474, g_loss -0.1020, disc_weight 0.4000, disc_adaptive_weight 5.6302, d_loss 0.4265, logits_real 0.0971, logits_fake 0.1017,
Train Epoch: [1/30] Iters:[900/1093] gen_loss -0.3976, rec_loss 0.0125, lpips_loss 0.1476, g_loss -0.1015, disc_weight 0.4000, disc_adaptive_weight 5.5041, d_loss 0.4260, logits_real 0.0966, logits_fake 0.1014,
Train Epoch: [1/30] Iters:[910/1093] gen_loss -0.4013, rec_loss 0.0124, lpips_loss 0.1476, g_loss -0.1010, disc_weight 0.4000, disc_adaptive_weight 5.5655, d_loss 0.4255, logits_real 0.0958, logits_fake 0.1009,
Train Epoch: [1/30] Iters:[920/1093] gen_loss -0.3980, rec_loss 0.0124, lpips_loss 0.1475, g_loss -0.1005, disc_weight 0.4000, disc_adaptive_weight 5.5533, d_loss 0.4252, logits_real 0.0953, logits_fake 0.1008,
Train Epoch: [1/30] Iters:[930/1093] gen_loss -0.3762, rec_loss 0.0123, lpips_loss 0.1473, g_loss -0.1000, disc_weight 0.4000, disc_adaptive_weight 5.3562, d_loss 0.4246, logits_real 0.0947, logits_fake 0.1001,
Train Epoch: [1/30] Iters:[940/1093] gen_loss -0.3614, rec_loss 0.0124, lpips_loss 0.1474, g_loss -0.0994, disc_weight 0.4000, disc_adaptive_weight 5.2440, d_loss 0.4241, logits_real 0.0939, logits_fake 0.0995,
Train Epoch: [1/30] Iters:[950/1093] gen_loss -0.3457, rec_loss 0.0124, lpips_loss 0.1475, g_loss -0.0985, disc_weight 0.4000, disc_adaptive_weight 5.1324, d_loss 0.4236, logits_real 0.0932, logits_fake 0.0986,
Train Epoch: [1/30] Iters:[960/1093] gen_loss -0.3621, rec_loss 0.0123, lpips_loss 0.1475, g_loss -0.0976, disc_weight 0.4000, disc_adaptive_weight 5.3503, d_loss 0.4231, logits_real 0.0926, logits_fake 0.0976,
Train Epoch: [1/30] Iters:[970/1093] gen_loss -0.3569, rec_loss 0.0124, lpips_loss 0.1480, g_loss -0.0970, disc_weight 0.4000, disc_adaptive_weight 5.3327, d_loss 0.4225, logits_real 0.0920, logits_fake 0.0967,
Train Epoch: [1/30] Iters:[980/1093] gen_loss -0.3738, rec_loss 0.0126, lpips_loss 0.1487, g_loss -0.0964, disc_weight 0.4000, disc_adaptive_weight 5.5482, d_loss 0.4222, logits_real 0.0913, logits_fake 0.0963,
Train Epoch: [1/30] Iters:[990/1093] gen_loss -0.3573, rec_loss 0.0125, lpips_loss 0.1486, g_loss -0.0961, disc_weight 0.4000, disc_adaptive_weight 5.3954, d_loss 0.4217, logits_real 0.0908, logits_fake 0.0959,
Train Epoch: [1/30] Iters:[1000/1093] gen_loss -0.3797, rec_loss 0.0125, lpips_loss 0.1483, g_loss -0.0957, disc_weight 0.4000, disc_adaptive_weight 5.6447, d_loss 0.4213, logits_real 0.0904, logits_fake 0.0955,
Train Epoch: [1/30] Iters:[1010/1093] gen_loss -0.3522, rec_loss 0.0126, lpips_loss 0.1480, g_loss -0.0952, disc_weight 0.4000, disc_adaptive_weight 5.3842, d_loss 0.4210, logits_real 0.0899, logits_fake 0.0951,
Train Epoch: [1/30] Iters:[1020/1093] gen_loss -0.3517, rec_loss 0.0127, lpips_loss 0.1479, g_loss -0.0944, disc_weight 0.4000, disc_adaptive_weight 5.4258, d_loss 0.4206, logits_real 0.0893, logits_fake 0.0944,
