Train Epoch: [1/5] Iters:[700/20018] gen_loss 0.0266, rec_loss 0.0235, lpips_loss 0.2042, g_loss -0.0838, disc_weight 0.4000, disc_adaptive_weight 2.3993, d_loss 0.4612, logits_real 0.0839, logits_fake 0.0837,
Train Epoch: [1/5] Iters:[710/20018] gen_loss 0.0240, rec_loss 0.0235, lpips_loss 0.2038, g_loss -0.0834, disc_weight 0.4000, disc_adaptive_weight 2.4417, d_loss 0.4602, logits_real 0.0834, logits_fake 0.0833,
Train Epoch: [1/5] Iters:[720/20018] gen_loss 0.0183, rec_loss 0.0236, lpips_loss 0.2029, g_loss -0.0831, disc_weight 0.4000, disc_adaptive_weight 2.5061, d_loss 0.4586, logits_real 0.0830, logits_fake 0.0830,
Train Epoch: [1/5] Iters:[730/20018] gen_loss 0.0103, rec_loss 0.0239, lpips_loss 0.2037, g_loss -0.0829, disc_weight 0.4000, disc_adaptive_weight 2.6232, d_loss 0.4572, logits_real 0.0826, logits_fake 0.0827,
Train Epoch: [1/5] Iters:[740/20018] gen_loss 0.0135, rec_loss 0.0241, lpips_loss 0.2041, g_loss -0.0825, disc_weight 0.4000, disc_adaptive_weight 2.6053, d_loss 0.4558, logits_real 0.0821, logits_fake 0.0823,
Train Epoch: [1/5] Iters:[750/20018] gen_loss 0.0039, rec_loss 0.0239, lpips_loss 0.2034, g_loss -0.0821, disc_weight 0.4000, disc_adaptive_weight 2.7211, d_loss 0.4537, logits_real 0.0819, logits_fake 0.0820,
Train Epoch: [1/5] Iters:[760/20018] gen_loss 0.0140, rec_loss 0.0238, lpips_loss 0.2040, g_loss -0.0819, disc_weight 0.4000, disc_adaptive_weight 2.6126, d_loss 0.4521, logits_real 0.0818, logits_fake 0.0819,
Train Epoch: [1/5] Iters:[770/20018] gen_loss 0.0124, rec_loss 0.0237, lpips_loss 0.2039, g_loss -0.0818, disc_weight 0.4000, disc_adaptive_weight 2.6350, d_loss 0.4509, logits_real 0.0815, logits_fake 0.0818,
Train Epoch: [1/5] Iters:[780/20018] gen_loss 0.0162, rec_loss 0.0235, lpips_loss 0.2037, g_loss -0.0816, disc_weight 0.4000, disc_adaptive_weight 2.5905, d_loss 0.4495, logits_real 0.0814, logits_fake 0.0816,
Train Epoch: [1/5] Iters:[790/20018] gen_loss 0.0196, rec_loss 0.0234, lpips_loss 0.2036, g_loss -0.0814, disc_weight 0.4000, disc_adaptive_weight 2.5507, d_loss 0.4486, logits_real 0.0813, logits_fake 0.0813,
Train Epoch: [1/5] Iters:[800/20018] gen_loss 0.0248, rec_loss 0.0237, lpips_loss 0.2046, g_loss -0.0812, disc_weight 0.4000, disc_adaptive_weight 2.5122, d_loss 0.4480, logits_real 0.0810, logits_fake 0.0810,
Train Epoch: [1/5] Iters:[810/20018] gen_loss 0.0259, rec_loss 0.0239, lpips_loss 0.2046, g_loss -0.0809, disc_weight 0.4000, disc_adaptive_weight 2.5088, d_loss 0.4466, logits_real 0.0808, logits_fake 0.0805,
Train Epoch: [1/5] Iters:[820/20018] gen_loss 0.0322, rec_loss 0.0239, lpips_loss 0.2044, g_loss -0.0805, disc_weight 0.4000, disc_adaptive_weight 2.4417, d_loss 0.4455, logits_real 0.0806, logits_fake 0.0800,
Train Epoch: [1/5] Iters:[830/20018] gen_loss 0.0381, rec_loss 0.0239, lpips_loss 0.2036, g_loss -0.0802, disc_weight 0.4000, disc_adaptive_weight 2.3656, d_loss 0.4437, logits_real 0.0804, logits_fake 0.0796,
Train Epoch: [1/5] Iters:[840/20018] gen_loss 0.0305, rec_loss 0.0239, lpips_loss 0.2035, g_loss -0.0800, disc_weight 0.4000, disc_adaptive_weight 2.4663, d_loss 0.4424, logits_real 0.0802, logits_fake 0.0793,
Train Epoch: [1/5] Iters:[850/20018] gen_loss 0.0292, rec_loss 0.0236, lpips_loss 0.2027, g_loss -0.0799, disc_weight 0.4000, disc_adaptive_weight 2.4713, d_loss 0.4412, logits_real 0.0802, logits_fake 0.0794,
Train Epoch: [1/5] Iters:[860/20018] gen_loss 0.0301, rec_loss 0.0238, lpips_loss 0.2027, g_loss -0.0796, disc_weight 0.4000, disc_adaptive_weight 2.4712, d_loss 0.4410, logits_real 0.0802, logits_fake 0.0796,
Train Epoch: [1/5] Iters:[870/20018] gen_loss 0.0238, rec_loss 0.0239, lpips_loss 0.2037, g_loss -0.0796, disc_weight 0.4000, disc_adaptive_weight 2.5635, d_loss 0.4401, logits_real 0.0801, logits_fake 0.0796,
Train Epoch: [1/5] Iters:[880/20018] gen_loss 0.0209, rec_loss 0.0240, lpips_loss 0.2043, g_loss -0.0792, disc_weight 0.4000, disc_adaptive_weight 2.6209, d_loss 0.4397, logits_real 0.0798, logits_fake 0.0792,
