Train Epoch: [1/5] Iters:[1000/10009] transplant_loss 6.5825, rec_loss 0.0556, quant_error 0.5097,
Train Epoch: [1/5] Iters:[1010/10009] transplant_loss 6.5643, rec_loss 0.0552, quant_error 0.5079,
Train Epoch: [1/5] Iters:[1020/10009] transplant_loss 6.5544, rec_loss 0.0549, quant_error 0.5069,
Train Epoch: [1/5] Iters:[1030/10009] transplant_loss 6.5377, rec_loss 0.0550, quant_error 0.5054,
Train Epoch: [1/5] Iters:[1040/10009] transplant_loss 6.5273, rec_loss 0.0544, quant_error 0.5045,
Train Epoch: [1/5] Iters:[1050/10009] transplant_loss 6.4985, rec_loss 0.0546, quant_error 0.5021,
Train Epoch: [1/5] Iters:[1060/10009] transplant_loss 6.4803, rec_loss 0.0548, quant_error 0.5006,
Train Epoch: [1/5] Iters:[1070/10009] transplant_loss 6.4642, rec_loss 0.0548, quant_error 0.4991,
Train Epoch: [1/5] Iters:[1080/10009] transplant_loss 6.4743, rec_loss 0.0549, quant_error 0.4994,
Train Epoch: [1/5] Iters:[1090/10009] transplant_loss 6.4632, rec_loss 0.0551, quant_error 0.4980,
Train Epoch: [1/5] Iters:[1100/10009] transplant_loss 6.4439, rec_loss 0.0543, quant_error 0.4964,
Train Epoch: [1/5] Iters:[1110/10009] transplant_loss 6.4505, rec_loss 0.0533, quant_error 0.4965,
Train Epoch: [1/5] Iters:[1120/10009] transplant_loss 6.4165, rec_loss 0.0534, quant_error 0.4937,
Train Epoch: [1/5] Iters:[1130/10009] transplant_loss 6.3883, rec_loss 0.0532, quant_error 0.4915,
Train Epoch: [1/5] Iters:[1140/10009] transplant_loss 6.3668, rec_loss 0.0528, quant_error 0.4898,
Train Epoch: [1/5] Iters:[1150/10009] transplant_loss 6.3546, rec_loss 0.0528, quant_error 0.4885,
Train Epoch: [1/5] Iters:[1160/10009] transplant_loss 6.3366, rec_loss 0.0527, quant_error 0.4869,
