Train Epoch: [1/5] Iters:[1350/10009] transplant_loss 398.5346, rec_loss 0.0980, quant_error 2.0803,
Train Epoch: [1/5] Iters:[1360/10009] transplant_loss 401.1784, rec_loss 0.0982, quant_error 2.0742,
Train Epoch: [1/5] Iters:[1370/10009] transplant_loss 407.0060, rec_loss 0.0982, quant_error 2.0798,
Train Epoch: [1/5] Iters:[1380/10009] transplant_loss 409.5392, rec_loss 0.0987, quant_error 2.0779,
Train Epoch: [1/5] Iters:[1390/10009] transplant_loss 414.9264, rec_loss 0.0984, quant_error 2.0757,
Train Epoch: [1/5] Iters:[1400/10009] transplant_loss 417.3155, rec_loss 0.0982, quant_error 2.0722,
Train Epoch: [1/5] Iters:[1410/10009] transplant_loss 414.8100, rec_loss 0.0986, quant_error 2.0747,
Train Epoch: [1/5] Iters:[1420/10009] transplant_loss 413.5470, rec_loss 0.0993, quant_error 2.0699,
Train Epoch: [1/5] Iters:[1430/10009] transplant_loss 422.0674, rec_loss 0.0991, quant_error 2.0737,
Train Epoch: [1/5] Iters:[1440/10009] transplant_loss 421.5036, rec_loss 0.0997, quant_error 2.0759,
Train Epoch: [1/5] Iters:[1450/10009] transplant_loss 422.6898, rec_loss 0.1001, quant_error 2.0768,
Train Epoch: [1/5] Iters:[1460/10009] transplant_loss 429.1572, rec_loss 0.1002, quant_error 2.0823,
Train Epoch: [1/5] Iters:[1470/10009] transplant_loss 434.8718, rec_loss 0.0993, quant_error 2.0782,
Train Epoch: [1/5] Iters:[1480/10009] transplant_loss 437.9457, rec_loss 0.0997, quant_error 2.0770,
Train Epoch: [1/5] Iters:[1490/10009] transplant_loss 448.0983, rec_loss 0.0996, quant_error 2.0760,
Train Epoch: [1/5] Iters:[1500/10009] transplant_loss 455.8790, rec_loss 0.1000, quant_error 2.0798,
Train Epoch: [1/5] Iters:[1510/10009] transplant_loss 456.8727, rec_loss 0.1000, quant_error 2.0771,
Train Epoch: [1/5] Iters:[1520/10009] transplant_loss 458.9831, rec_loss 0.1005, quant_error 2.0762,
Train Epoch: [1/5] Iters:[1530/10009] transplant_loss 456.5778, rec_loss 0.1011, quant_error 2.0764,
Train Epoch: [1/5] Iters:[1540/10009] transplant_loss 451.2248, rec_loss 0.1008, quant_error 2.0767,
Train Epoch: [1/5] Iters:[1550/10009] transplant_loss 446.4916, rec_loss 0.1002, quant_error 2.0684,
Train Epoch: [1/5] Iters:[1560/10009] transplant_loss 459.2231, rec_loss 0.0999, quant_error 2.0751,
Train Epoch: [1/5] Iters:[1570/10009] transplant_loss 463.0764, rec_loss 0.0989, quant_error 2.0722,
Train Epoch: [1/5] Iters:[1580/10009] transplant_loss 467.9628, rec_loss 0.0984, quant_error 2.0702,
Train Epoch: [1/5] Iters:[1590/10009] transplant_loss 474.6617, rec_loss 0.0978, quant_error 2.0639,
Train Epoch: [1/5] Iters:[1600/10009] transplant_loss 478.0649, rec_loss 0.0985, quant_error 2.0692,
Train Epoch: [1/5] Iters:[1610/10009] transplant_loss 470.1552, rec_loss 0.0992, quant_error 2.0601,
Train Epoch: [1/5] Iters:[1620/10009] transplant_loss 470.7711, rec_loss 0.0998, quant_error 2.0600,
Train Epoch: [1/5] Iters:[1630/10009] transplant_loss 473.2011, rec_loss 0.0989, quant_error 2.0509,
Train Epoch: [1/5] Iters:[1640/10009] transplant_loss 478.0133, rec_loss 0.1002, quant_error 2.0499,
Train Epoch: [1/5] Iters:[1650/10009] transplant_loss 487.5401, rec_loss 0.0994, quant_error 2.0459,
Train Epoch: [1/5] Iters:[1660/10009] transplant_loss 498.0934, rec_loss 0.0982, quant_error 2.0443,
Train Epoch: [1/5] Iters:[1670/10009] transplant_loss 503.1677, rec_loss 0.0988, quant_error 2.0538,
Train Epoch: [1/5] Iters:[1680/10009] transplant_loss 503.4233, rec_loss 0.0991, quant_error 2.0524,
Train Epoch: [1/5] Iters:[1690/10009] transplant_loss 503.0101, rec_loss 0.0988, quant_error 2.0587,
Train Epoch: [1/5] Iters:[1700/10009] transplant_loss 497.9292, rec_loss 0.0986, quant_error 2.0514,
Train Epoch: [1/5] Iters:[1710/10009] transplant_loss 494.8881, rec_loss 0.0991, quant_error 2.0554,
Train Epoch: [1/5] Iters:[1720/10009] transplant_loss 501.1229, rec_loss 0.0993, quant_error 2.0530,
Train Epoch: [1/5] Iters:[1730/10009] transplant_loss 510.6786, rec_loss 0.0996, quant_error 2.0614,
Train Epoch: [1/5] Iters:[1740/10009] transplant_loss 516.1932, rec_loss 0.1001, quant_error 2.0657,
Train Epoch: [1/5] Iters:[1750/10009] transplant_loss 525.3358, rec_loss 0.1007, quant_error 2.0738,
Train Epoch: [1/5] Iters:[1760/10009] transplant_loss 524.2735, rec_loss 0.1005, quant_error 2.0686,
Train Epoch: [1/5] Iters:[1770/10009] transplant_loss 524.9091, rec_loss 0.1004, quant_error 2.0675,
Train Epoch: [1/5] Iters:[1780/10009] transplant_loss 521.1521, rec_loss 0.0997, quant_error 2.0579,
Train Epoch: [1/5] Iters:[1790/10009] transplant_loss 518.3032, rec_loss 0.0993, quant_error 2.0440,
Train Epoch: [1/5] Iters:[1800/10009] transplant_loss 515.6505, rec_loss 0.0989, quant_error 2.0411,
Train Epoch: [1/5] Iters:[1810/10009] transplant_loss 525.1668, rec_loss 0.0988, quant_error 2.0434,
Train Epoch: [1/5] Iters:[1820/10009] transplant_loss 522.9809, rec_loss 0.0979, quant_error 2.0331,
Train Epoch: [1/5] Iters:[1830/10009] transplant_loss 523.9319, rec_loss 0.0979, quant_error 2.0286,
Train Epoch: [1/5] Iters:[1840/10009] transplant_loss 526.3727, rec_loss 0.0972, quant_error 2.0314,
Train Epoch: [1/5] Iters:[1850/10009] transplant_loss 532.2937, rec_loss 0.0981, quant_error 2.0355,
Train Epoch: [1/5] Iters:[1860/10009] transplant_loss 531.4896, rec_loss 0.0980, quant_error 2.0328,
Train Epoch: [1/5] Iters:[1870/10009] transplant_loss 534.9213, rec_loss 0.0980, quant_error 2.0338,
Train Epoch: [1/5] Iters:[1880/10009] transplant_loss 536.4192, rec_loss 0.0983, quant_error 2.0411,
Train Epoch: [1/5] Iters:[1890/10009] transplant_loss 539.6779, rec_loss 0.0977, quant_error 2.0383,
Train Epoch: [1/5] Iters:[1900/10009] transplant_loss 542.4935, rec_loss 0.0976, quant_error 2.0394,
Train Epoch: [1/5] Iters:[1910/10009] transplant_loss 541.3350, rec_loss 0.0979, quant_error 2.0353,
Train Epoch: [1/5] Iters:[1920/10009] transplant_loss 543.9381, rec_loss 0.0981, quant_error 2.0381,
Train Epoch: [1/5] Iters:[1930/10009] transplant_loss 551.2148, rec_loss 0.0977, quant_error 2.0354,
Train Epoch: [1/5] Iters:[1940/10009] transplant_loss 560.5034, rec_loss 0.0989, quant_error 2.0395,
Train Epoch: [1/5] Iters:[1950/10009] transplant_loss 562.5769, rec_loss 0.0988, quant_error 2.0315,
Train Epoch: [1/5] Iters:[1960/10009] transplant_loss 570.4191, rec_loss 0.0990, quant_error 2.0357,
Train Epoch: [1/5] Iters:[1970/10009] transplant_loss 571.3301, rec_loss 0.0986, quant_error 2.0307,
Train Epoch: [1/5] Iters:[1980/10009] transplant_loss 571.6996, rec_loss 0.0984, quant_error 2.0300,
Train Epoch: [1/5] Iters:[1990/10009] transplant_loss 564.7899, rec_loss 0.0979, quant_error 2.0256,
Train Epoch: [1/5] Iters:[2000/10009] transplant_loss 564.7600, rec_loss 0.0976, quant_error 2.0200,
Train Epoch: [1/5] Iters:[2010/10009] transplant_loss 565.4975, rec_loss 0.0971, quant_error 2.0171,
Train Epoch: [1/5] Iters:[2020/10009] transplant_loss 566.1406, rec_loss 0.0983, quant_error 2.0203,
Train Epoch: [1/5] Iters:[2030/10009] transplant_loss 568.1480, rec_loss 0.0992, quant_error 2.0267,
Train Epoch: [1/5] Iters:[2040/10009] transplant_loss 571.3721, rec_loss 0.0990, quant_error 2.0226,
Train Epoch: [1/5] Iters:[2050/10009] transplant_loss 572.3221, rec_loss 0.0984, quant_error 2.0241,
Train Epoch: [1/5] Iters:[2060/10009] transplant_loss 579.5503, rec_loss 0.0979, quant_error 2.0203,
Train Epoch: [1/5] Iters:[2070/10009] transplant_loss 584.0614, rec_loss 0.0969, quant_error 2.0149,
Train Epoch: [1/5] Iters:[2080/10009] transplant_loss 587.6103, rec_loss 0.0961, quant_error 2.0054,
Train Epoch: [1/5] Iters:[2090/10009] transplant_loss 595.0563, rec_loss 0.0964, quant_error 2.0129,
Train Epoch: [1/5] Iters:[2100/10009] transplant_loss 600.5034, rec_loss 0.0971, quant_error 2.0149,
Train Epoch: [1/5] Iters:[2110/10009] transplant_loss 596.6556, rec_loss 0.0972, quant_error 2.0175,
Train Epoch: [1/5] Iters:[2120/10009] transplant_loss 604.1275, rec_loss 0.0979, quant_error 2.0300,
Train Epoch: [1/5] Iters:[2130/10009] transplant_loss 607.8283, rec_loss 0.0981, quant_error 2.0301,
Train Epoch: [1/5] Iters:[2140/10009] transplant_loss 610.5832, rec_loss 0.0983, quant_error 2.0254,
Train Epoch: [1/5] Iters:[2150/10009] transplant_loss 612.0260, rec_loss 0.0978, quant_error 2.0182,
Train Epoch: [1/5] Iters:[2160/10009] transplant_loss 614.8262, rec_loss 0.0988, quant_error 2.0188,
Train Epoch: [1/5] Iters:[2170/10009] transplant_loss 617.6524, rec_loss 0.0976, quant_error 2.0090,
Train Epoch: [1/5] Iters:[2180/10009] transplant_loss 615.0780, rec_loss 0.0981, quant_error 2.0105,
Train Epoch: [1/5] Iters:[2190/10009] transplant_loss 613.8643, rec_loss 0.0980, quant_error 2.0081,
Train Epoch: [1/5] Iters:[2200/10009] transplant_loss 618.7588, rec_loss 0.0978, quant_error 2.0137,
Train Epoch: [1/5] Iters:[2210/10009] transplant_loss 619.8985, rec_loss 0.0961, quant_error 2.0033,
Train Epoch: [1/5] Iters:[2220/10009] transplant_loss 617.4344, rec_loss 0.0961, quant_error 1.9978,
Train Epoch: [1/5] Iters:[2230/10009] transplant_loss 620.3919, rec_loss 0.0956, quant_error 1.9950,
Train Epoch: [1/5] Iters:[2240/10009] transplant_loss 625.5372, rec_loss 0.0950, quant_error 1.9917,
Train Epoch: [1/5] Iters:[2250/10009] transplant_loss 624.3974, rec_loss 0.0952, quant_error 1.9854,
Train Epoch: [1/5] Iters:[2260/10009] transplant_loss 626.8081, rec_loss 0.0958, quant_error 1.9906,
Train Epoch: [1/5] Iters:[2270/10009] transplant_loss 627.2550, rec_loss 0.0959, quant_error 1.9921,
Train Epoch: [1/5] Iters:[2280/10009] transplant_loss 634.4399, rec_loss 0.0962, quant_error 1.9956,
Train Epoch: [1/5] Iters:[2290/10009] transplant_loss 631.8757, rec_loss 0.0966, quant_error 1.9972,
