Train Epoch: [1/2] Iters:[690/20018] transplant_loss 5.4068, rec_loss 0.0546, quant_error 0.9357, utilization 0.0923, perplexity 3889.2495,
Train Epoch: [1/2] Iters:[700/20018] transplant_loss 5.3808, rec_loss 0.0547, quant_error 0.9365, utilization 0.0922, perplexity 3882.7299,
Train Epoch: [1/2] Iters:[710/20018] transplant_loss 5.3955, rec_loss 0.0554, quant_error 0.9393, utilization 0.0923, perplexity 3884.1073,
Train Epoch: [1/2] Iters:[720/20018] transplant_loss 5.3848, rec_loss 0.0552, quant_error 0.9319, utilization 0.0923, perplexity 3885.4825,
Train Epoch: [1/2] Iters:[730/20018] transplant_loss 5.3515, rec_loss 0.0552, quant_error 0.9274, utilization 0.0925, perplexity 3903.8070,
Train Epoch: [1/2] Iters:[740/20018] transplant_loss 5.3702, rec_loss 0.0561, quant_error 0.9339, utilization 0.0924, perplexity 3887.5072,
Train Epoch: [1/2] Iters:[750/20018] transplant_loss 5.3715, rec_loss 0.0553, quant_error 0.9300, utilization 0.0928, perplexity 3902.1282,
Train Epoch: [1/2] Iters:[760/20018] transplant_loss 5.3522, rec_loss 0.0548, quant_error 0.9273, utilization 0.0928, perplexity 3905.8703,
Train Epoch: [1/2] Iters:[770/20018] transplant_loss 5.3524, rec_loss 0.0555, quant_error 0.9310, utilization 0.0933, perplexity 3923.4920,
Train Epoch: [1/2] Iters:[780/20018] transplant_loss 5.3689, rec_loss 0.0551, quant_error 0.9344, utilization 0.0931, perplexity 3914.0060,
Train Epoch: [1/2] Iters:[790/20018] transplant_loss 5.3664, rec_loss 0.0549, quant_error 0.9323, utilization 0.0935, perplexity 3950.8472,
Train Epoch: [1/2] Iters:[800/20018] transplant_loss 5.3592, rec_loss 0.0558, quant_error 0.9313, utilization 0.0932, perplexity 3940.2198,
Train Epoch: [1/2] Iters:[810/20018] transplant_loss 5.3614, rec_loss 0.0558, quant_error 0.9307, utilization 0.0934, perplexity 3953.3159,
Train Epoch: [1/2] Iters:[820/20018] transplant_loss 5.3566, rec_loss 0.0552, quant_error 0.9299, utilization 0.0931, perplexity 3936.3986,
Train Epoch: [1/2] Iters:[830/20018] transplant_loss 5.3557, rec_loss 0.0560, quant_error 0.9287, utilization 0.0934, perplexity 3956.8350,
Train Epoch: [1/2] Iters:[840/20018] transplant_loss 5.3398, rec_loss 0.0550, quant_error 0.9243, utilization 0.0936, perplexity 3970.5000,
Train Epoch: [1/2] Iters:[850/20018] transplant_loss 5.3161, rec_loss 0.0541, quant_error 0.9213, utilization 0.0936, perplexity 3972.8834,
Train Epoch: [1/2] Iters:[860/20018] transplant_loss 5.3107, rec_loss 0.0545, quant_error 0.9187, utilization 0.0937, perplexity 3981.7936,
Train Epoch: [1/2] Iters:[870/20018] transplant_loss 5.3129, rec_loss 0.0549, quant_error 0.9175, utilization 0.0939, perplexity 3989.2392,
Train Epoch: [1/2] Iters:[880/20018] transplant_loss 5.3009, rec_loss 0.0541, quant_error 0.9137, utilization 0.0939, perplexity 3992.9854,
Train Epoch: [1/2] Iters:[890/20018] transplant_loss 5.2922, rec_loss 0.0538, quant_error 0.9120, utilization 0.0939, perplexity 3985.2693,
Train Epoch: [1/2] Iters:[900/20018] transplant_loss 5.3065, rec_loss 0.0547, quant_error 0.9141, utilization 0.0942, perplexity 4013.7404,
Train Epoch: [1/2] Iters:[910/20018] transplant_loss 5.3267, rec_loss 0.0552, quant_error 0.9183, utilization 0.0943, perplexity 4020.4543,
Train Epoch: [1/2] Iters:[920/20018] transplant_loss 5.3148, rec_loss 0.0545, quant_error 0.9176, utilization 0.0945, perplexity 4034.4152,
Train Epoch: [1/2] Iters:[930/20018] transplant_loss 5.3164, rec_loss 0.0547, quant_error 0.9157, utilization 0.0945, perplexity 4032.4192,
Train Epoch: [1/2] Iters:[940/20018] transplant_loss 5.3092, rec_loss 0.0544, quant_error 0.9148, utilization 0.0944, perplexity 4024.1316,
Train Epoch: [1/2] Iters:[950/20018] transplant_loss 5.3032, rec_loss 0.0541, quant_error 0.9146, utilization 0.0944, perplexity 4021.7582,
Train Epoch: [1/2] Iters:[960/20018] transplant_loss 5.2862, rec_loss 0.0536, quant_error 0.9091, utilization 0.0944, perplexity 4018.4967,
Train Epoch: [1/2] Iters:[970/20018] transplant_loss 5.2701, rec_loss 0.0533, quant_error 0.9042, utilization 0.0944, perplexity 4027.5423,
Train Epoch: [1/2] Iters:[980/20018] transplant_loss 5.2593, rec_loss 0.0532, quant_error 0.9013, utilization 0.0946, perplexity 4037.4519,
Train Epoch: [1/2] Iters:[990/20018] transplant_loss 5.2464, rec_loss 0.0527, quant_error 0.8969, utilization 0.0946, perplexity 4049.0050,
Train Epoch: [1/2] Iters:[1000/20018] transplant_loss 5.2523, rec_loss 0.0533, quant_error 0.8985, utilization 0.0946, perplexity 4043.2273,
Train Epoch: [1/2] Iters:[1010/20018] transplant_loss 5.2409, rec_loss 0.0527, quant_error 0.8982, utilization 0.0947, perplexity 4049.9031,
Train Epoch: [1/2] Iters:[1020/20018] transplant_loss 5.2550, rec_loss 0.0529, quant_error 0.8986, utilization 0.0946, perplexity 4035.2956,
Train Epoch: [1/2] Iters:[1030/20018] transplant_loss 5.2685, rec_loss 0.0531, quant_error 0.9004, utilization 0.0947, perplexity 4041.5057,
Train Epoch: [1/2] Iters:[1040/20018] transplant_loss 5.2670, rec_loss 0.0544, quant_error 0.9021, utilization 0.0946, perplexity 4041.4760,
Train Epoch: [1/2] Iters:[1050/20018] transplant_loss 5.2672, rec_loss 0.0539, quant_error 0.8998, utilization 0.0950, perplexity 4072.8551,
Train Epoch: [1/2] Iters:[1060/20018] transplant_loss 5.2594, rec_loss 0.0538, quant_error 0.8981, utilization 0.0949, perplexity 4070.0178,
Train Epoch: [1/2] Iters:[1070/20018] transplant_loss 5.2449, rec_loss 0.0531, quant_error 0.8972, utilization 0.0951, perplexity 4089.7410,
Train Epoch: [1/2] Iters:[1080/20018] transplant_loss 5.2361, rec_loss 0.0528, quant_error 0.8961, utilization 0.0951, perplexity 4085.9853,
Train Epoch: [1/2] Iters:[1090/20018] transplant_loss 5.2243, rec_loss 0.0522, quant_error 0.8926, utilization 0.0955, perplexity 4108.1175,
Train Epoch: [1/2] Iters:[1100/20018] transplant_loss 5.2103, rec_loss 0.0520, quant_error 0.8904, utilization 0.0953, perplexity 4091.3528,
Train Epoch: [1/2] Iters:[1110/20018] transplant_loss 5.2089, rec_loss 0.0522, quant_error 0.8933, utilization 0.0956, perplexity 4105.8285,
Train Epoch: [1/2] Iters:[1120/20018] transplant_loss 5.2237, rec_loss 0.0535, quant_error 0.8940, utilization 0.0955, perplexity 4103.4763,
Train Epoch: [1/2] Iters:[1130/20018] transplant_loss 5.2244, rec_loss 0.0534, quant_error 0.8978, utilization 0.0956, perplexity 4123.8772,
Train Epoch: [1/2] Iters:[1140/20018] transplant_loss 5.2559, rec_loss 0.0545, quant_error 0.9016, utilization 0.0954, perplexity 4106.2069,
Train Epoch: [1/2] Iters:[1150/20018] transplant_loss 5.2569, rec_loss 0.0543, quant_error 0.9008, utilization 0.0955, perplexity 4110.4314,
Train Epoch: [1/2] Iters:[1160/20018] transplant_loss 5.2601, rec_loss 0.0555, quant_error 0.8998, utilization 0.0957, perplexity 4124.8932,
Train Epoch: [1/2] Iters:[1170/20018] transplant_loss 5.2543, rec_loss 0.0546, quant_error 0.8992, utilization 0.0958, perplexity 4128.9430,
Train Epoch: [1/2] Iters:[1180/20018] transplant_loss 5.2414, rec_loss 0.0547, quant_error 0.8963, utilization 0.0958, perplexity 4112.9647,
Train Epoch: [1/2] Iters:[1190/20018] transplant_loss 5.2209, rec_loss 0.0545, quant_error 0.8946, utilization 0.0959, perplexity 4124.8924,
Train Epoch: [1/2] Iters:[1200/20018] transplant_loss 5.2072, rec_loss 0.0546, quant_error 0.8906, utilization 0.0958, perplexity 4128.4610,
Train Epoch: [1/2] Iters:[1210/20018] transplant_loss 5.1957, rec_loss 0.0532, quant_error 0.8900, utilization 0.0957, perplexity 4124.8794,
Train Epoch: [1/2] Iters:[1220/20018] transplant_loss 5.1939, rec_loss 0.0538, quant_error 0.8916, utilization 0.0958, perplexity 4128.1249,
Train Epoch: [1/2] Iters:[1230/20018] transplant_loss 5.1973, rec_loss 0.0548, quant_error 0.8912, utilization 0.0958, perplexity 4132.6358,
Train Epoch: [1/2] Iters:[1240/20018] transplant_loss 5.2134, rec_loss 0.0548, quant_error 0.8926, utilization 0.0959, perplexity 4144.3727,
Train Epoch: [1/2] Iters:[1250/20018] transplant_loss 5.2082, rec_loss 0.0546, quant_error 0.8938, utilization 0.0961, perplexity 4158.2716,
Train Epoch: [1/2] Iters:[1260/20018] transplant_loss 5.2191, rec_loss 0.0553, quant_error 0.8911, utilization 0.0963, perplexity 4167.2157,
Train Epoch: [1/2] Iters:[1270/20018] transplant_loss 5.1960, rec_loss 0.0549, quant_error 0.8875, utilization 0.0962, perplexity 4155.3149,
Train Epoch: [1/2] Iters:[1280/20018] transplant_loss 5.2087, rec_loss 0.0541, quant_error 0.8878, utilization 0.0965, perplexity 4181.6235,
Train Epoch: [1/2] Iters:[1290/20018] transplant_loss 5.1795, rec_loss 0.0537, quant_error 0.8844, utilization 0.0965, perplexity 4170.8875,
Train Epoch: [1/2] Iters:[1300/20018] transplant_loss 5.2040, rec_loss 0.0541, quant_error 0.8860, utilization 0.0967, perplexity 4179.8941,
Train Epoch: [1/2] Iters:[1310/20018] transplant_loss 5.1944, rec_loss 0.0542, quant_error 0.8837, utilization 0.0968, perplexity 4185.2380,
Train Epoch: [1/2] Iters:[1320/20018] transplant_loss 5.2337, rec_loss 0.0546, quant_error 0.8892, utilization 0.0972, perplexity 4226.6796,
Train Epoch: [1/2] Iters:[1330/20018] transplant_loss 5.2135, rec_loss 0.0540, quant_error 0.8845, utilization 0.0973, perplexity 4228.7820,
Train Epoch: [1/2] Iters:[1340/20018] transplant_loss 5.2275, rec_loss 0.0535, quant_error 0.8872, utilization 0.0973, perplexity 4234.1510,
Train Epoch: [1/2] Iters:[1350/20018] transplant_loss 5.2175, rec_loss 0.0537, quant_error 0.8858, utilization 0.0975, perplexity 4248.4936,
Train Epoch: [1/2] Iters:[1360/20018] transplant_loss 5.1884, rec_loss 0.0527, quant_error 0.8810, utilization 0.0970, perplexity 4221.4732,
Train Epoch: [1/2] Iters:[1370/20018] transplant_loss 5.1618, rec_loss 0.0525, quant_error 0.8761, utilization 0.0971, perplexity 4216.3526,
Train Epoch: [1/2] Iters:[1380/20018] transplant_loss 5.1650, rec_loss 0.0529, quant_error 0.8794, utilization 0.0969, perplexity 4207.5211,
Train Epoch: [1/2] Iters:[1390/20018] transplant_loss 5.1631, rec_loss 0.0530, quant_error 0.8771, utilization 0.0975, perplexity 4250.3684,
Train Epoch: [1/2] Iters:[1400/20018] transplant_loss 5.1652, rec_loss 0.0535, quant_error 0.8792, utilization 0.0973, perplexity 4241.7488,
Train Epoch: [1/2] Iters:[1410/20018] transplant_loss 5.1860, rec_loss 0.0541, quant_error 0.8878, utilization 0.0975, perplexity 4253.1717,
Train Epoch: [1/2] Iters:[1420/20018] transplant_loss 5.1796, rec_loss 0.0538, quant_error 0.8850, utilization 0.0975, perplexity 4253.9266,
Train Epoch: [1/2] Iters:[1430/20018] transplant_loss 5.1578, rec_loss 0.0534, quant_error 0.8804, utilization 0.0975, perplexity 4248.0453,
Train Epoch: [1/2] Iters:[1440/20018] transplant_loss 5.1645, rec_loss 0.0532, quant_error 0.8809, utilization 0.0975, perplexity 4243.8836,
Train Epoch: [1/2] Iters:[1450/20018] transplant_loss 5.1492, rec_loss 0.0519, quant_error 0.8779, utilization 0.0973, perplexity 4237.4004,
Train Epoch: [1/2] Iters:[1460/20018] transplant_loss 5.1682, rec_loss 0.0515, quant_error 0.8759, utilization 0.0981, perplexity 4288.7955,
Train Epoch: [1/2] Iters:[1470/20018] transplant_loss 5.1669, rec_loss 0.0514, quant_error 0.8770, utilization 0.0979, perplexity 4282.5832,
Train Epoch: [1/2] Iters:[1480/20018] transplant_loss 5.1828, rec_loss 0.0518, quant_error 0.8779, utilization 0.0983, perplexity 4308.8964,
Train Epoch: [1/2] Iters:[1490/20018] transplant_loss 5.1618, rec_loss 0.0521, quant_error 0.8770, utilization 0.0982, perplexity 4300.2759,
Train Epoch: [1/2] Iters:[1500/20018] transplant_loss 5.1600, rec_loss 0.0522, quant_error 0.8766, utilization 0.0983, perplexity 4295.2247,
Train Epoch: [1/2] Iters:[1510/20018] transplant_loss 5.1520, rec_loss 0.0532, quant_error 0.8773, utilization 0.0980, perplexity 4273.6528,
Train Epoch: [1/2] Iters:[1520/20018] transplant_loss 5.1471, rec_loss 0.0534, quant_error 0.8737, utilization 0.0982, perplexity 4286.6904,
Train Epoch: [1/2] Iters:[1530/20018] transplant_loss 5.1385, rec_loss 0.0532, quant_error 0.8737, utilization 0.0982, perplexity 4287.8806,
Train Epoch: [1/2] Iters:[1540/20018] transplant_loss 5.1392, rec_loss 0.0537, quant_error 0.8710, utilization 0.0984, perplexity 4301.6785,
