Train Epoch: [1/2] Iters:[680/20018] transplant_loss 2.3236, rec_loss 0.0475, quant_error 0.6054, utilization 0.2024, perplexity 11844.6490,
Train Epoch: [1/2] Iters:[690/20018] transplant_loss 2.3173, rec_loss 0.0475, quant_error 0.6005, utilization 0.2025, perplexity 11843.4974,
Train Epoch: [1/2] Iters:[700/20018] transplant_loss 2.3110, rec_loss 0.0481, quant_error 0.6008, utilization 0.2024, perplexity 11790.9646,
Train Epoch: [1/2] Iters:[710/20018] transplant_loss 2.3130, rec_loss 0.0480, quant_error 0.6012, utilization 0.2022, perplexity 11777.3191,
Train Epoch: [1/2] Iters:[720/20018] transplant_loss 2.3049, rec_loss 0.0480, quant_error 0.5977, utilization 0.2022, perplexity 11752.4560,
Train Epoch: [1/2] Iters:[730/20018] transplant_loss 2.3007, rec_loss 0.0482, quant_error 0.5952, utilization 0.2022, perplexity 11765.0459,
Train Epoch: [1/2] Iters:[740/20018] transplant_loss 2.3118, rec_loss 0.0490, quant_error 0.5999, utilization 0.2019, perplexity 11704.3917,
Train Epoch: [1/2] Iters:[750/20018] transplant_loss 2.3008, rec_loss 0.0482, quant_error 0.5954, utilization 0.2018, perplexity 11693.9903,
Train Epoch: [1/2] Iters:[760/20018] transplant_loss 2.2942, rec_loss 0.0475, quant_error 0.5928, utilization 0.2021, perplexity 11737.1031,
Train Epoch: [1/2] Iters:[770/20018] transplant_loss 2.2909, rec_loss 0.0473, quant_error 0.5929, utilization 0.2017, perplexity 11685.1263,
Train Epoch: [1/2] Iters:[780/20018] transplant_loss 2.2919, rec_loss 0.0465, quant_error 0.5926, utilization 0.2018, perplexity 11687.9888,
Train Epoch: [1/2] Iters:[790/20018] transplant_loss 2.2878, rec_loss 0.0461, quant_error 0.5918, utilization 0.2020, perplexity 11733.9204,
Train Epoch: [1/2] Iters:[800/20018] transplant_loss 2.2922, rec_loss 0.0466, quant_error 0.5920, utilization 0.2021, perplexity 11759.1656,
Train Epoch: [1/2] Iters:[810/20018] transplant_loss 2.2918, rec_loss 0.0474, quant_error 0.5931, utilization 0.2022, perplexity 11772.4067,
Train Epoch: [1/2] Iters:[820/20018] transplant_loss 2.3005, rec_loss 0.0476, quant_error 0.5950, utilization 0.2025, perplexity 11801.9765,
Train Epoch: [1/2] Iters:[830/20018] transplant_loss 2.3059, rec_loss 0.0480, quant_error 0.5960, utilization 0.2025, perplexity 11796.6732,
Train Epoch: [1/2] Iters:[840/20018] transplant_loss 2.3003, rec_loss 0.0475, quant_error 0.5944, utilization 0.2027, perplexity 11841.6813,
Train Epoch: [1/2] Iters:[850/20018] transplant_loss 2.2978, rec_loss 0.0469, quant_error 0.5950, utilization 0.2025, perplexity 11802.4018,
Train Epoch: [1/2] Iters:[860/20018] transplant_loss 2.2944, rec_loss 0.0470, quant_error 0.5918, utilization 0.2022, perplexity 11726.8212,
Train Epoch: [1/2] Iters:[870/20018] transplant_loss 2.2913, rec_loss 0.0474, quant_error 0.5918, utilization 0.2020, perplexity 11689.7060,
Train Epoch: [1/2] Iters:[880/20018] transplant_loss 2.2818, rec_loss 0.0471, quant_error 0.5896, utilization 0.2021, perplexity 11705.8371,
Train Epoch: [1/2] Iters:[890/20018] transplant_loss 2.2819, rec_loss 0.0467, quant_error 0.5888, utilization 0.2019, perplexity 11688.3140,
Train Epoch: [1/2] Iters:[900/20018] transplant_loss 2.2932, rec_loss 0.0476, quant_error 0.5916, utilization 0.2024, perplexity 11758.0764,
Train Epoch: [1/2] Iters:[910/20018] transplant_loss 2.3028, rec_loss 0.0480, quant_error 0.5962, utilization 0.2028, perplexity 11834.9074,
Train Epoch: [1/2] Iters:[920/20018] transplant_loss 2.2979, rec_loss 0.0472, quant_error 0.5940, utilization 0.2027, perplexity 11824.5041,
Train Epoch: [1/2] Iters:[930/20018] transplant_loss 2.2966, rec_loss 0.0472, quant_error 0.5920, utilization 0.2027, perplexity 11819.4777,
Train Epoch: [1/2] Iters:[940/20018] transplant_loss 2.2924, rec_loss 0.0469, quant_error 0.5909, utilization 0.2028, perplexity 11798.8541,
Train Epoch: [1/2] Iters:[950/20018] transplant_loss 2.2853, rec_loss 0.0469, quant_error 0.5894, utilization 0.2028, perplexity 11811.6825,
Train Epoch: [1/2] Iters:[960/20018] transplant_loss 2.2777, rec_loss 0.0462, quant_error 0.5846, utilization 0.2028, perplexity 11813.9343,
Train Epoch: [1/2] Iters:[970/20018] transplant_loss 2.2726, rec_loss 0.0464, quant_error 0.5825, utilization 0.2032, perplexity 11889.7852,
Train Epoch: [1/2] Iters:[980/20018] transplant_loss 2.2669, rec_loss 0.0464, quant_error 0.5815, utilization 0.2033, perplexity 11904.9615,
Train Epoch: [1/2] Iters:[990/20018] transplant_loss 2.2599, rec_loss 0.0463, quant_error 0.5792, utilization 0.2031, perplexity 11900.7738,
Train Epoch: [1/2] Iters:[1000/20018] transplant_loss 2.2625, rec_loss 0.0462, quant_error 0.5789, utilization 0.2031, perplexity 11874.2852,
Train Epoch: [1/2] Iters:[1010/20018] transplant_loss 2.2608, rec_loss 0.0458, quant_error 0.5805, utilization 0.2027, perplexity 11824.4535,
Train Epoch: [1/2] Iters:[1020/20018] transplant_loss 2.2674, rec_loss 0.0457, quant_error 0.5816, utilization 0.2026, perplexity 11797.2615,
Train Epoch: [1/2] Iters:[1030/20018] transplant_loss 2.2754, rec_loss 0.0460, quant_error 0.5825, utilization 0.2027, perplexity 11802.8257,
Train Epoch: [1/2] Iters:[1040/20018] transplant_loss 2.2775, rec_loss 0.0471, quant_error 0.5847, utilization 0.2031, perplexity 11860.7451,
Train Epoch: [1/2] Iters:[1050/20018] transplant_loss 2.2826, rec_loss 0.0468, quant_error 0.5862, utilization 0.2031, perplexity 11898.3048,
Train Epoch: [1/2] Iters:[1060/20018] transplant_loss 2.2803, rec_loss 0.0468, quant_error 0.5854, utilization 0.2034, perplexity 11936.2022,
Train Epoch: [1/2] Iters:[1070/20018] transplant_loss 2.2783, rec_loss 0.0464, quant_error 0.5858, utilization 0.2037, perplexity 11986.9008,
Train Epoch: [1/2] Iters:[1080/20018] transplant_loss 2.2745, rec_loss 0.0465, quant_error 0.5864, utilization 0.2039, perplexity 12012.6042,
Train Epoch: [1/2] Iters:[1090/20018] transplant_loss 2.2715, rec_loss 0.0460, quant_error 0.5851, utilization 0.2036, perplexity 11973.5586,
Train Epoch: [1/2] Iters:[1100/20018] transplant_loss 2.2614, rec_loss 0.0456, quant_error 0.5800, utilization 0.2036, perplexity 11957.7416,
Train Epoch: [1/2] Iters:[1110/20018] transplant_loss 2.2635, rec_loss 0.0453, quant_error 0.5805, utilization 0.2035, perplexity 11941.8715,
Train Epoch: [1/2] Iters:[1120/20018] transplant_loss 2.2656, rec_loss 0.0466, quant_error 0.5800, utilization 0.2034, perplexity 11934.3439,
Train Epoch: [1/2] Iters:[1130/20018] transplant_loss 2.2709, rec_loss 0.0462, quant_error 0.5828, utilization 0.2034, perplexity 11929.7478,
Train Epoch: [1/2] Iters:[1140/20018] transplant_loss 2.2867, rec_loss 0.0475, quant_error 0.5856, utilization 0.2035, perplexity 11930.1886,
Train Epoch: [1/2] Iters:[1150/20018] transplant_loss 2.2849, rec_loss 0.0476, quant_error 0.5869, utilization 0.2035, perplexity 11933.4123,
Train Epoch: [1/2] Iters:[1160/20018] transplant_loss 2.2918, rec_loss 0.0493, quant_error 0.5880, utilization 0.2037, perplexity 11940.0343,
Train Epoch: [1/2] Iters:[1170/20018] transplant_loss 2.2872, rec_loss 0.0483, quant_error 0.5885, utilization 0.2038, perplexity 11953.4424,
Train Epoch: [1/2] Iters:[1180/20018] transplant_loss 2.2845, rec_loss 0.0482, quant_error 0.5871, utilization 0.2034, perplexity 11877.4767,
Train Epoch: [1/2] Iters:[1190/20018] transplant_loss 2.2755, rec_loss 0.0477, quant_error 0.5841, utilization 0.2035, perplexity 11912.1064,
Train Epoch: [1/2] Iters:[1200/20018] transplant_loss 2.2679, rec_loss 0.0477, quant_error 0.5802, utilization 0.2037, perplexity 11925.9275,
Train Epoch: [1/2] Iters:[1210/20018] transplant_loss 2.2621, rec_loss 0.0464, quant_error 0.5794, utilization 0.2036, perplexity 11919.7782,
Train Epoch: [1/2] Iters:[1220/20018] transplant_loss 2.2609, rec_loss 0.0467, quant_error 0.5788, utilization 0.2031, perplexity 11843.0540,
Train Epoch: [1/2] Iters:[1230/20018] transplant_loss 2.2615, rec_loss 0.0477, quant_error 0.5772, utilization 0.2035, perplexity 11907.6122,
Train Epoch: [1/2] Iters:[1240/20018] transplant_loss 2.2681, rec_loss 0.0477, quant_error 0.5796, utilization 0.2033, perplexity 11883.5057,
Train Epoch: [1/2] Iters:[1250/20018] transplant_loss 2.2731, rec_loss 0.0478, quant_error 0.5827, utilization 0.2031, perplexity 11842.7758,
Train Epoch: [1/2] Iters:[1260/20018] transplant_loss 2.2704, rec_loss 0.0482, quant_error 0.5814, utilization 0.2030, perplexity 11822.0844,
Train Epoch: [1/2] Iters:[1270/20018] transplant_loss 2.2719, rec_loss 0.0481, quant_error 0.5792, utilization 0.2033, perplexity 11851.9475,
Train Epoch: [1/2] Iters:[1280/20018] transplant_loss 2.2760, rec_loss 0.0476, quant_error 0.5810, utilization 0.2033, perplexity 11849.8508,
Train Epoch: [1/2] Iters:[1290/20018] transplant_loss 2.2713, rec_loss 0.0475, quant_error 0.5792, utilization 0.2035, perplexity 11880.9242,
Train Epoch: [1/2] Iters:[1300/20018] transplant_loss 2.2762, rec_loss 0.0475, quant_error 0.5809, utilization 0.2036, perplexity 11900.3403,
Train Epoch: [1/2] Iters:[1310/20018] transplant_loss 2.2739, rec_loss 0.0477, quant_error 0.5808, utilization 0.2039, perplexity 11929.5045,
Train Epoch: [1/2] Iters:[1320/20018] transplant_loss 2.2852, rec_loss 0.0477, quant_error 0.5856, utilization 0.2040, perplexity 11980.4811,
Train Epoch: [1/2] Iters:[1330/20018] transplant_loss 2.2687, rec_loss 0.0465, quant_error 0.5817, utilization 0.2039, perplexity 11964.2670,
Train Epoch: [1/2] Iters:[1340/20018] transplant_loss 2.2792, rec_loss 0.0463, quant_error 0.5851, utilization 0.2038, perplexity 11957.6384,
Train Epoch: [1/2] Iters:[1350/20018] transplant_loss 2.2739, rec_loss 0.0465, quant_error 0.5853, utilization 0.2036, perplexity 11946.0623,
Train Epoch: [1/2] Iters:[1360/20018] transplant_loss 2.2656, rec_loss 0.0457, quant_error 0.5823, utilization 0.2035, perplexity 11947.7848,
Train Epoch: [1/2] Iters:[1370/20018] transplant_loss 2.2516, rec_loss 0.0457, quant_error 0.5783, utilization 0.2033, perplexity 11922.0259,
Train Epoch: [1/2] Iters:[1380/20018] transplant_loss 2.2604, rec_loss 0.0463, quant_error 0.5802, utilization 0.2036, perplexity 11948.3549,
Train Epoch: [1/2] Iters:[1390/20018] transplant_loss 2.2471, rec_loss 0.0462, quant_error 0.5769, utilization 0.2036, perplexity 11952.4407,
Train Epoch: [1/2] Iters:[1400/20018] transplant_loss 2.2518, rec_loss 0.0465, quant_error 0.5757, utilization 0.2037, perplexity 11933.9704,
Train Epoch: [1/2] Iters:[1410/20018] transplant_loss 2.2733, rec_loss 0.0471, quant_error 0.5810, utilization 0.2038, perplexity 11948.7870,
Train Epoch: [1/2] Iters:[1420/20018] transplant_loss 2.2688, rec_loss 0.0468, quant_error 0.5795, utilization 0.2038, perplexity 11941.9461,
Train Epoch: [1/2] Iters:[1430/20018] transplant_loss 2.2564, rec_loss 0.0463, quant_error 0.5768, utilization 0.2036, perplexity 11890.0350,
Train Epoch: [1/2] Iters:[1440/20018] transplant_loss 2.2632, rec_loss 0.0462, quant_error 0.5792, utilization 0.2036, perplexity 11877.2105,
Train Epoch: [1/2] Iters:[1450/20018] transplant_loss 2.2565, rec_loss 0.0454, quant_error 0.5785, utilization 0.2039, perplexity 11929.1081,
Train Epoch: [1/2] Iters:[1460/20018] transplant_loss 2.2464, rec_loss 0.0448, quant_error 0.5763, utilization 0.2040, perplexity 11953.6727,
Train Epoch: [1/2] Iters:[1470/20018] transplant_loss 2.2548, rec_loss 0.0449, quant_error 0.5781, utilization 0.2039, perplexity 11902.2913,
Train Epoch: [1/2] Iters:[1480/20018] transplant_loss 2.2594, rec_loss 0.0453, quant_error 0.5775, utilization 0.2039, perplexity 11927.9454,
Train Epoch: [1/2] Iters:[1490/20018] transplant_loss 2.2587, rec_loss 0.0457, quant_error 0.5761, utilization 0.2038, perplexity 11910.9051,
Train Epoch: [1/2] Iters:[1500/20018] transplant_loss 2.2540, rec_loss 0.0452, quant_error 0.5736, utilization 0.2035, perplexity 11860.4137,
Train Epoch: [1/2] Iters:[1510/20018] transplant_loss 2.2590, rec_loss 0.0468, quant_error 0.5740, utilization 0.2034, perplexity 11820.3255,
Train Epoch: [1/2] Iters:[1520/20018] transplant_loss 2.2483, rec_loss 0.0467, quant_error 0.5710, utilization 0.2037, perplexity 11883.6928,
Train Epoch: [1/2] Iters:[1530/20018] transplant_loss 2.2496, rec_loss 0.0466, quant_error 0.5716, utilization 0.2040, perplexity 11921.9870,
Train Epoch: [1/2] Iters:[1540/20018] transplant_loss 2.2418, rec_loss 0.0467, quant_error 0.5682, utilization 0.2041, perplexity 11954.3724,
Train Epoch: [1/2] Iters:[1550/20018] transplant_loss 2.2415, rec_loss 0.0473, quant_error 0.5672, utilization 0.2044, perplexity 12000.5751,
Train Epoch: [1/2] Iters:[1560/20018] transplant_loss 2.2317, rec_loss 0.0459, quant_error 0.5646, utilization 0.2046, perplexity 12036.8511,
Train Epoch: [1/2] Iters:[1570/20018] transplant_loss 2.2320, rec_loss 0.0457, quant_error 0.5642, utilization 0.2044, perplexity 12017.4620,
Train Epoch: [1/2] Iters:[1580/20018] transplant_loss 2.2315, rec_loss 0.0457, quant_error 0.5640, utilization 0.2044, perplexity 12016.9405,
Train Epoch: [1/2] Iters:[1590/20018] transplant_loss 2.2290, rec_loss 0.0456, quant_error 0.5642, utilization 0.2043, perplexity 11964.0738,
Train Epoch: [1/2] Iters:[1600/20018] transplant_loss 2.2329, rec_loss 0.0456, quant_error 0.5658, utilization 0.2043, perplexity 11981.4770,
Train Epoch: [1/2] Iters:[1610/20018] transplant_loss 2.2311, rec_loss 0.0463, quant_error 0.5661, utilization 0.2041, perplexity 11925.1016,
Train Epoch: [1/2] Iters:[1620/20018] transplant_loss 2.2364, rec_loss 0.0470, quant_error 0.5683, utilization 0.2041, perplexity 11927.2736,
Train Epoch: [1/2] Iters:[1630/20018] transplant_loss 2.2330, rec_loss 0.0467, quant_error 0.5663, utilization 0.2042, perplexity 11939.6596,
Train Epoch: [1/2] Iters:[1640/20018] transplant_loss 2.2325, rec_loss 0.0463, quant_error 0.5651, utilization 0.2043, perplexity 11979.2557,
Train Epoch: [1/2] Iters:[1650/20018] transplant_loss 2.2311, rec_loss 0.0462, quant_error 0.5654, utilization 0.2042, perplexity 11960.7077,
Train Epoch: [1/2] Iters:[1660/20018] transplant_loss 2.2293, rec_loss 0.0452, quant_error 0.5633, utilization 0.2043, perplexity 11978.8386,
Train Epoch: [1/2] Iters:[1670/20018] transplant_loss 2.2297, rec_loss 0.0449, quant_error 0.5625, utilization 0.2045, perplexity 12016.1211,
