Train Epoch: [1/2] Iters:[840/40036] transplant_loss 35.7921, rec_loss 0.0804, quant_error 1.4216, utilization 0.0129, perplexity 45.7824,
Train Epoch: [1/2] Iters:[850/40036] transplant_loss 35.8551, rec_loss 0.0793, quant_error 1.4121, utilization 0.0129, perplexity 45.9761,
Train Epoch: [1/2] Iters:[860/40036] transplant_loss 35.4502, rec_loss 0.0803, quant_error 1.4118, utilization 0.0129, perplexity 46.0190,
Train Epoch: [1/2] Iters:[870/40036] transplant_loss 35.3846, rec_loss 0.0802, quant_error 1.4142, utilization 0.0129, perplexity 46.1047,
Train Epoch: [1/2] Iters:[880/40036] transplant_loss 35.1082, rec_loss 0.0798, quant_error 1.4084, utilization 0.0128, perplexity 46.1217,
Train Epoch: [1/2] Iters:[890/40036] transplant_loss 34.4660, rec_loss 0.0794, quant_error 1.3950, utilization 0.0128, perplexity 46.1623,
Train Epoch: [1/2] Iters:[900/40036] transplant_loss 33.7263, rec_loss 0.0801, quant_error 1.3951, utilization 0.0128, perplexity 46.2634,
Train Epoch: [1/2] Iters:[910/40036] transplant_loss 33.6315, rec_loss 0.0806, quant_error 1.3994, utilization 0.0128, perplexity 46.3109,
Train Epoch: [1/2] Iters:[920/40036] transplant_loss 32.7105, rec_loss 0.0791, quant_error 1.3823, utilization 0.0128, perplexity 46.2991,
Train Epoch: [1/2] Iters:[930/40036] transplant_loss 32.8947, rec_loss 0.0780, quant_error 1.3814, utilization 0.0128, perplexity 46.3768,
Train Epoch: [1/2] Iters:[940/40036] transplant_loss 32.4494, rec_loss 0.0782, quant_error 1.3818, utilization 0.0128, perplexity 46.4675,
Train Epoch: [1/2] Iters:[950/40036] transplant_loss 32.4034, rec_loss 0.0781, quant_error 1.3806, utilization 0.0128, perplexity 46.4697,
Train Epoch: [1/2] Iters:[960/40036] transplant_loss 31.7077, rec_loss 0.0761, quant_error 1.3587, utilization 0.0128, perplexity 46.6279,
Train Epoch: [1/2] Iters:[970/40036] transplant_loss 31.1170, rec_loss 0.0749, quant_error 1.3533, utilization 0.0128, perplexity 46.8083,
Train Epoch: [1/2] Iters:[980/40036] transplant_loss 30.3999, rec_loss 0.0752, quant_error 1.3453, utilization 0.0128, perplexity 46.9277,
Train Epoch: [1/2] Iters:[990/40036] transplant_loss 30.3474, rec_loss 0.0766, quant_error 1.3448, utilization 0.0128, perplexity 47.0304,
Train Epoch: [1/2] Iters:[1000/40036] transplant_loss 29.8360, rec_loss 0.0751, quant_error 1.3336, utilization 0.0128, perplexity 47.0425,
Train Epoch: [1/2] Iters:[1010/40036] transplant_loss 29.6716, rec_loss 0.0758, quant_error 1.3392, utilization 0.0128, perplexity 47.0868,
Train Epoch: [1/2] Iters:[1020/40036] transplant_loss 29.9761, rec_loss 0.0782, quant_error 1.3531, utilization 0.0128, perplexity 47.0696,
Train Epoch: [1/2] Iters:[1030/40036] transplant_loss 29.6870, rec_loss 0.0771, quant_error 1.3477, utilization 0.0128, perplexity 47.1234,
Train Epoch: [1/2] Iters:[1040/40036] transplant_loss 29.3494, rec_loss 0.0761, quant_error 1.3364, utilization 0.0128, perplexity 47.2508,
Train Epoch: [1/2] Iters:[1050/40036] transplant_loss 28.6909, rec_loss 0.0765, quant_error 1.3332, utilization 0.0128, perplexity 47.3646,
Train Epoch: [1/2] Iters:[1060/40036] transplant_loss 28.2873, rec_loss 0.0771, quant_error 1.3279, utilization 0.0128, perplexity 47.4405,
Train Epoch: [1/2] Iters:[1070/40036] transplant_loss 27.6663, rec_loss 0.0770, quant_error 1.3243, utilization 0.0128, perplexity 47.4907,
Train Epoch: [1/2] Iters:[1080/40036] transplant_loss 27.2247, rec_loss 0.0769, quant_error 1.3197, utilization 0.0128, perplexity 47.5840,
Train Epoch: [1/2] Iters:[1090/40036] transplant_loss 26.8299, rec_loss 0.0760, quant_error 1.3142, utilization 0.0128, perplexity 47.5489,
Train Epoch: [1/2] Iters:[1100/40036] transplant_loss 26.8519, rec_loss 0.0761, quant_error 1.3085, utilization 0.0128, perplexity 47.6247,
Train Epoch: [1/2] Iters:[1110/40036] transplant_loss 26.5728, rec_loss 0.0747, quant_error 1.3038, utilization 0.0128, perplexity 47.6868,
Train Epoch: [1/2] Iters:[1120/40036] transplant_loss 26.2262, rec_loss 0.0737, quant_error 1.2896, utilization 0.0128, perplexity 47.8090,
Train Epoch: [1/2] Iters:[1130/40036] transplant_loss 26.2238, rec_loss 0.0743, quant_error 1.2877, utilization 0.0128, perplexity 47.8378,
Train Epoch: [1/2] Iters:[1140/40036] transplant_loss 25.7813, rec_loss 0.0741, quant_error 1.2895, utilization 0.0128, perplexity 47.9055,
Train Epoch: [1/2] Iters:[1150/40036] transplant_loss 25.7410, rec_loss 0.0741, quant_error 1.2974, utilization 0.0129, perplexity 47.9527,
Train Epoch: [1/2] Iters:[1160/40036] transplant_loss 25.7504, rec_loss 0.0744, quant_error 1.3001, utilization 0.0129, perplexity 48.0049,
Train Epoch: [1/2] Iters:[1170/40036] transplant_loss 25.6901, rec_loss 0.0739, quant_error 1.2965, utilization 0.0129, perplexity 48.0231,
Train Epoch: [1/2] Iters:[1180/40036] transplant_loss 25.2460, rec_loss 0.0734, quant_error 1.2925, utilization 0.0129, perplexity 48.0729,
Train Epoch: [1/2] Iters:[1190/40036] transplant_loss 25.4652, rec_loss 0.0740, quant_error 1.2904, utilization 0.0129, perplexity 48.1561,
Train Epoch: [1/2] Iters:[1200/40036] transplant_loss 24.9226, rec_loss 0.0725, quant_error 1.2753, utilization 0.0129, perplexity 48.2317,
Train Epoch: [1/2] Iters:[1210/40036] transplant_loss 24.3087, rec_loss 0.0717, quant_error 1.2590, utilization 0.0129, perplexity 48.3137,
Train Epoch: [1/2] Iters:[1220/40036] transplant_loss 24.2662, rec_loss 0.0720, quant_error 1.2616, utilization 0.0129, perplexity 48.3749,
Train Epoch: [1/2] Iters:[1230/40036] transplant_loss 23.8255, rec_loss 0.0711, quant_error 1.2582, utilization 0.0130, perplexity 48.4577,
Train Epoch: [1/2] Iters:[1240/40036] transplant_loss 23.5577, rec_loss 0.0710, quant_error 1.2586, utilization 0.0130, perplexity 48.4895,
Train Epoch: [1/2] Iters:[1250/40036] transplant_loss 23.4035, rec_loss 0.0724, quant_error 1.2606, utilization 0.0130, perplexity 48.5176,
Train Epoch: [1/2] Iters:[1260/40036] transplant_loss 23.4607, rec_loss 0.0719, quant_error 1.2692, utilization 0.0130, perplexity 48.5421,
Train Epoch: [1/2] Iters:[1270/40036] transplant_loss 23.1585, rec_loss 0.0708, quant_error 1.2601, utilization 0.0130, perplexity 48.5904,
Train Epoch: [1/2] Iters:[1280/40036] transplant_loss 23.1578, rec_loss 0.0712, quant_error 1.2591, utilization 0.0130, perplexity 48.6479,
Train Epoch: [1/2] Iters:[1290/40036] transplant_loss 23.0298, rec_loss 0.0716, quant_error 1.2559, utilization 0.0130, perplexity 48.7194,
Train Epoch: [1/2] Iters:[1300/40036] transplant_loss 22.8186, rec_loss 0.0701, quant_error 1.2483, utilization 0.0130, perplexity 48.8394,
Train Epoch: [1/2] Iters:[1310/40036] transplant_loss 22.4457, rec_loss 0.0708, quant_error 1.2454, utilization 0.0130, perplexity 48.8739,
Train Epoch: [1/2] Iters:[1320/40036] transplant_loss 21.9071, rec_loss 0.0704, quant_error 1.2396, utilization 0.0131, perplexity 48.9448,
Train Epoch: [1/2] Iters:[1330/40036] transplant_loss 21.7051, rec_loss 0.0707, quant_error 1.2403, utilization 0.0131, perplexity 48.9999,
Train Epoch: [1/2] Iters:[1340/40036] transplant_loss 21.2438, rec_loss 0.0688, quant_error 1.2360, utilization 0.0131, perplexity 49.0772,
Train Epoch: [1/2] Iters:[1350/40036] transplant_loss 21.0255, rec_loss 0.0688, quant_error 1.2326, utilization 0.0131, perplexity 49.0578,
Train Epoch: [1/2] Iters:[1360/40036] transplant_loss 21.1555, rec_loss 0.0689, quant_error 1.2278, utilization 0.0131, perplexity 49.1393,
Train Epoch: [1/2] Iters:[1370/40036] transplant_loss 21.1735, rec_loss 0.0695, quant_error 1.2310, utilization 0.0131, perplexity 49.1987,
Train Epoch: [1/2] Iters:[1380/40036] transplant_loss 21.0270, rec_loss 0.0686, quant_error 1.2209, utilization 0.0131, perplexity 49.1915,
Train Epoch: [1/2] Iters:[1390/40036] transplant_loss 20.7648, rec_loss 0.0704, quant_error 1.2214, utilization 0.0131, perplexity 49.1928,
Train Epoch: [1/2] Iters:[1400/40036] transplant_loss 20.9174, rec_loss 0.0712, quant_error 1.2231, utilization 0.0131, perplexity 49.2355,
Train Epoch: [1/2] Iters:[1410/40036] transplant_loss 20.5184, rec_loss 0.0707, quant_error 1.2168, utilization 0.0131, perplexity 49.2917,
Train Epoch: [1/2] Iters:[1420/40036] transplant_loss 20.4379, rec_loss 0.0706, quant_error 1.2135, utilization 0.0132, perplexity 49.3192,
Train Epoch: [1/2] Iters:[1430/40036] transplant_loss 20.4352, rec_loss 0.0713, quant_error 1.2139, utilization 0.0132, perplexity 49.4442,
Train Epoch: [1/2] Iters:[1440/40036] transplant_loss 20.1242, rec_loss 0.0694, quant_error 1.1991, utilization 0.0132, perplexity 49.5711,
Train Epoch: [1/2] Iters:[1450/40036] transplant_loss 19.6509, rec_loss 0.0689, quant_error 1.1911, utilization 0.0132, perplexity 49.6135,
Train Epoch: [1/2] Iters:[1460/40036] transplant_loss 19.4327, rec_loss 0.0692, quant_error 1.1896, utilization 0.0133, perplexity 49.6678,
Train Epoch: [1/2] Iters:[1470/40036] transplant_loss 19.1831, rec_loss 0.0694, quant_error 1.1882, utilization 0.0133, perplexity 49.7114,
Train Epoch: [1/2] Iters:[1480/40036] transplant_loss 19.1180, rec_loss 0.0697, quant_error 1.1917, utilization 0.0133, perplexity 49.6754,
Train Epoch: [1/2] Iters:[1490/40036] transplant_loss 19.0844, rec_loss 0.0698, quant_error 1.1941, utilization 0.0134, perplexity 49.6904,
Train Epoch: [1/2] Iters:[1500/40036] transplant_loss 19.1536, rec_loss 0.0699, quant_error 1.1940, utilization 0.0134, perplexity 49.7590,
Train Epoch: [1/2] Iters:[1510/40036] transplant_loss 19.1047, rec_loss 0.0686, quant_error 1.1923, utilization 0.0134, perplexity 49.7829,
Train Epoch: [1/2] Iters:[1520/40036] transplant_loss 18.8610, rec_loss 0.0675, quant_error 1.1840, utilization 0.0134, perplexity 49.8946,
Train Epoch: [1/2] Iters:[1530/40036] transplant_loss 18.3660, rec_loss 0.0663, quant_error 1.1750, utilization 0.0135, perplexity 49.9534,
Train Epoch: [1/2] Iters:[1540/40036] transplant_loss 18.3625, rec_loss 0.0665, quant_error 1.1732, utilization 0.0136, perplexity 49.9923,
Train Epoch: [1/2] Iters:[1550/40036] transplant_loss 17.8390, rec_loss 0.0656, quant_error 1.1716, utilization 0.0136, perplexity 50.0700,
Train Epoch: [1/2] Iters:[1560/40036] transplant_loss 17.8880, rec_loss 0.0665, quant_error 1.1730, utilization 0.0137, perplexity 50.1371,
Train Epoch: [1/2] Iters:[1570/40036] transplant_loss 17.9025, rec_loss 0.0682, quant_error 1.1828, utilization 0.0138, perplexity 50.1699,
Train Epoch: [1/2] Iters:[1580/40036] transplant_loss 17.9404, rec_loss 0.0684, quant_error 1.1821, utilization 0.0139, perplexity 50.2342,
Train Epoch: [1/2] Iters:[1590/40036] transplant_loss 17.7565, rec_loss 0.0689, quant_error 1.1765, utilization 0.0139, perplexity 50.3062,
Train Epoch: [1/2] Iters:[1600/40036] transplant_loss 17.8496, rec_loss 0.0689, quant_error 1.1747, utilization 0.0139, perplexity 50.3830,
Train Epoch: [1/2] Iters:[1610/40036] transplant_loss 17.4369, rec_loss 0.0674, quant_error 1.1645, utilization 0.0139, perplexity 50.4315,
Train Epoch: [1/2] Iters:[1620/40036] transplant_loss 17.2183, rec_loss 0.0666, quant_error 1.1581, utilization 0.0138, perplexity 50.3850,
Train Epoch: [1/2] Iters:[1630/40036] transplant_loss 17.0843, rec_loss 0.0669, quant_error 1.1608, utilization 0.0138, perplexity 50.4077,
Train Epoch: [1/2] Iters:[1640/40036] transplant_loss 17.1578, rec_loss 0.0658, quant_error 1.1685, utilization 0.0138, perplexity 50.4393,
Train Epoch: [1/2] Iters:[1650/40036] transplant_loss 17.0006, rec_loss 0.0659, quant_error 1.1684, utilization 0.0139, perplexity 50.3867,
Train Epoch: [1/2] Iters:[1660/40036] transplant_loss 17.0538, rec_loss 0.0671, quant_error 1.1710, utilization 0.0139, perplexity 50.4088,
Train Epoch: [1/2] Iters:[1670/40036] transplant_loss 16.8644, rec_loss 0.0663, quant_error 1.1635, utilization 0.0141, perplexity 50.5020,
Train Epoch: [1/2] Iters:[1680/40036] transplant_loss 16.7603, rec_loss 0.0663, quant_error 1.1605, utilization 0.0140, perplexity 50.4968,
Train Epoch: [1/2] Iters:[1690/40036] transplant_loss 16.4847, rec_loss 0.0665, quant_error 1.1521, utilization 0.0140, perplexity 50.5441,
