Train Epoch: [1/5] Iters:[850/10009] transplant_loss 2.0437, rec_loss 0.0387, quant_error 0.2292,
Train Epoch: [1/5] Iters:[860/10009] transplant_loss 2.0419, rec_loss 0.0381, quant_error 0.2290,
Train Epoch: [1/5] Iters:[870/10009] transplant_loss 2.0430, rec_loss 0.0384, quant_error 0.2291,
Train Epoch: [1/5] Iters:[880/10009] transplant_loss 2.0469, rec_loss 0.0385, quant_error 0.2295,
Train Epoch: [1/5] Iters:[890/10009] transplant_loss 2.0461, rec_loss 0.0383, quant_error 0.2295,
Train Epoch: [1/5] Iters:[900/10009] transplant_loss 2.0462, rec_loss 0.0385, quant_error 0.2295,
Train Epoch: [1/5] Iters:[910/10009] transplant_loss 2.0443, rec_loss 0.0385, quant_error 0.2293,
Train Epoch: [1/5] Iters:[920/10009] transplant_loss 2.0383, rec_loss 0.0387, quant_error 0.2286,
Train Epoch: [1/5] Iters:[930/10009] transplant_loss 2.0359, rec_loss 0.0391, quant_error 0.2283,
Train Epoch: [1/5] Iters:[940/10009] transplant_loss 2.0305, rec_loss 0.0393, quant_error 0.2276,
Train Epoch: [1/5] Iters:[950/10009] transplant_loss 2.0289, rec_loss 0.0391, quant_error 0.2275,
Train Epoch: [1/5] Iters:[960/10009] transplant_loss 2.0290, rec_loss 0.0393, quant_error 0.2274,
Train Epoch: [1/5] Iters:[970/10009] transplant_loss 2.0308, rec_loss 0.0391, quant_error 0.2276,
Train Epoch: [1/5] Iters:[980/10009] transplant_loss 2.0269, rec_loss 0.0387, quant_error 0.2272,
Train Epoch: [1/5] Iters:[990/10009] transplant_loss 2.0277, rec_loss 0.0389, quant_error 0.2273,
Train Epoch: [1/5] Iters:[1000/10009] transplant_loss 2.0291, rec_loss 0.0393, quant_error 0.2274,
Train Epoch: [1/5] Iters:[1010/10009] transplant_loss 2.0284, rec_loss 0.0393, quant_error 0.2274,
Train Epoch: [1/5] Iters:[1020/10009] transplant_loss 2.0275, rec_loss 0.0390, quant_error 0.2273,
Train Epoch: [1/5] Iters:[1030/10009] transplant_loss 2.0256, rec_loss 0.0392, quant_error 0.2271,
Train Epoch: [1/5] Iters:[1040/10009] transplant_loss 2.0224, rec_loss 0.0387, quant_error 0.2268,
Train Epoch: [1/5] Iters:[1050/10009] transplant_loss 2.0159, rec_loss 0.0389, quant_error 0.2260,
Train Epoch: [1/5] Iters:[1060/10009] transplant_loss 2.0127, rec_loss 0.0390, quant_error 0.2257,
Train Epoch: [1/5] Iters:[1070/10009] transplant_loss 2.0111, rec_loss 0.0390, quant_error 0.2255,
Train Epoch: [1/5] Iters:[1080/10009] transplant_loss 2.0117, rec_loss 0.0391, quant_error 0.2254,
Train Epoch: [1/5] Iters:[1090/10009] transplant_loss 2.0133, rec_loss 0.0393, quant_error 0.2256,
Train Epoch: [1/5] Iters:[1100/10009] transplant_loss 2.0153, rec_loss 0.0386, quant_error 0.2258,
Train Epoch: [1/5] Iters:[1110/10009] transplant_loss 2.0141, rec_loss 0.0377, quant_error 0.2257,
Train Epoch: [1/5] Iters:[1120/10009] transplant_loss 2.0127, rec_loss 0.0380, quant_error 0.2256,
Train Epoch: [1/5] Iters:[1130/10009] transplant_loss 2.0086, rec_loss 0.0380, quant_error 0.2251,
Train Epoch: [1/5] Iters:[1140/10009] transplant_loss 2.0041, rec_loss 0.0378, quant_error 0.2246,
Train Epoch: [1/5] Iters:[1150/10009] transplant_loss 1.9985, rec_loss 0.0379, quant_error 0.2240,
Train Epoch: [1/5] Iters:[1160/10009] transplant_loss 1.9947, rec_loss 0.0379, quant_error 0.2236,
Train Epoch: [1/5] Iters:[1170/10009] transplant_loss 1.9898, rec_loss 0.0374, quant_error 0.2230,
Train Epoch: [1/5] Iters:[1180/10009] transplant_loss 1.9890, rec_loss 0.0374, quant_error 0.2228,
Train Epoch: [1/5] Iters:[1190/10009] transplant_loss 1.9875, rec_loss 0.0378, quant_error 0.2226,
Train Epoch: [1/5] Iters:[1200/10009] transplant_loss 1.9847, rec_loss 0.0374, quant_error 0.2223,
Train Epoch: [1/5] Iters:[1210/10009] transplant_loss 1.9826, rec_loss 0.0379, quant_error 0.2221,
Train Epoch: [1/5] Iters:[1220/10009] transplant_loss 1.9823, rec_loss 0.0386, quant_error 0.2221,
Train Epoch: [1/5] Iters:[1230/10009] transplant_loss 1.9800, rec_loss 0.0381, quant_error 0.2218,
Train Epoch: [1/5] Iters:[1240/10009] transplant_loss 1.9784, rec_loss 0.0382, quant_error 0.2216,
Train Epoch: [1/5] Iters:[1250/10009] transplant_loss 1.9810, rec_loss 0.0386, quant_error 0.2220,
Train Epoch: [1/5] Iters:[1260/10009] transplant_loss 1.9841, rec_loss 0.0384, quant_error 0.2222,
Train Epoch: [1/5] Iters:[1270/10009] transplant_loss 1.9849, rec_loss 0.0381, quant_error 0.2223,
Train Epoch: [1/5] Iters:[1280/10009] transplant_loss 1.9842, rec_loss 0.0381, quant_error 0.2223,
Train Epoch: [1/5] Iters:[1290/10009] transplant_loss 1.9816, rec_loss 0.0375, quant_error 0.2219,
Train Epoch: [1/5] Iters:[1300/10009] transplant_loss 1.9808, rec_loss 0.0375, quant_error 0.2219,
Train Epoch: [1/5] Iters:[1310/10009] transplant_loss 1.9764, rec_loss 0.0373, quant_error 0.2214,
Train Epoch: [1/5] Iters:[1320/10009] transplant_loss 1.9729, rec_loss 0.0371, quant_error 0.2210,
Train Epoch: [1/5] Iters:[1330/10009] transplant_loss 1.9725, rec_loss 0.0372, quant_error 0.2209,
Train Epoch: [1/5] Iters:[1340/10009] transplant_loss 1.9729, rec_loss 0.0373, quant_error 0.2210,
Train Epoch: [1/5] Iters:[1350/10009] transplant_loss 1.9720, rec_loss 0.0372, quant_error 0.2208,
Train Epoch: [1/5] Iters:[1360/10009] transplant_loss 1.9694, rec_loss 0.0375, quant_error 0.2205,
Train Epoch: [1/5] Iters:[1370/10009] transplant_loss 1.9700, rec_loss 0.0373, quant_error 0.2207,
Train Epoch: [1/5] Iters:[1380/10009] transplant_loss 1.9703, rec_loss 0.0378, quant_error 0.2208,
Train Epoch: [1/5] Iters:[1390/10009] transplant_loss 1.9683, rec_loss 0.0375, quant_error 0.2205,
Train Epoch: [1/5] Iters:[1400/10009] transplant_loss 1.9640, rec_loss 0.0373, quant_error 0.2200,
Train Epoch: [1/5] Iters:[1410/10009] transplant_loss 1.9632, rec_loss 0.0374, quant_error 0.2199,
Train Epoch: [1/5] Iters:[1420/10009] transplant_loss 1.9600, rec_loss 0.0381, quant_error 0.2195,
Train Epoch: [1/5] Iters:[1430/10009] transplant_loss 1.9579, rec_loss 0.0376, quant_error 0.2192,
Train Epoch: [1/5] Iters:[1440/10009] transplant_loss 1.9619, rec_loss 0.0379, quant_error 0.2196,
Train Epoch: [1/5] Iters:[1450/10009] transplant_loss 1.9648, rec_loss 0.0382, quant_error 0.2200,
Train Epoch: [1/5] Iters:[1460/10009] transplant_loss 1.9697, rec_loss 0.0383, quant_error 0.2206,
Train Epoch: [1/5] Iters:[1470/10009] transplant_loss 1.9700, rec_loss 0.0377, quant_error 0.2206,
Train Epoch: [1/5] Iters:[1480/10009] transplant_loss 1.9686, rec_loss 0.0382, quant_error 0.2205,
Train Epoch: [1/5] Iters:[1490/10009] transplant_loss 1.9641, rec_loss 0.0383, quant_error 0.2200,
