Train Epoch: [1/5] Iters:[540/20018] gen_loss 0.3347, rec_loss 0.0350, lpips_loss 0.2998, g_loss 0.2111, disc_weight 0.0000, disc_adaptive_weight 3.0807, d_loss 0.0000, logits_real -0.2087, logits_fake -0.2111,
Train Epoch: [1/5] Iters:[550/20018] gen_loss 0.3349, rec_loss 0.0350, lpips_loss 0.2999, g_loss 0.2105, disc_weight 0.0000, disc_adaptive_weight 3.0920, d_loss 0.0000, logits_real -0.2077, logits_fake -0.2102,
Train Epoch: [1/5] Iters:[560/20018] gen_loss 0.3350, rec_loss 0.0348, lpips_loss 0.3003, g_loss 0.2074, disc_weight 0.0000, disc_adaptive_weight 3.1747, d_loss 0.0000, logits_real -0.2073, logits_fake -0.2072,
Train Epoch: [1/5] Iters:[570/20018] gen_loss 0.3352, rec_loss 0.0348, lpips_loss 0.3004, g_loss 0.2072, disc_weight 0.0000, disc_adaptive_weight 2.9923, d_loss 0.0000, logits_real -0.2064, logits_fake -0.2081,
Train Epoch: [1/5] Iters:[580/20018] gen_loss 0.3340, rec_loss 0.0343, lpips_loss 0.2997, g_loss 0.2067, disc_weight 0.0000, disc_adaptive_weight 3.1655, d_loss 0.0000, logits_real -0.2072, logits_fake -0.2080,
Train Epoch: [1/5] Iters:[590/20018] gen_loss 0.3335, rec_loss 0.0343, lpips_loss 0.2992, g_loss 0.2063, disc_weight 0.0000, disc_adaptive_weight 3.3002, d_loss 0.0000, logits_real -0.2059, logits_fake -0.2077,
Train Epoch: [1/5] Iters:[600/20018] gen_loss 0.3325, rec_loss 0.0339, lpips_loss 0.2986, g_loss 0.2077, disc_weight 0.0000, disc_adaptive_weight 3.3772, d_loss 0.0000, logits_real -0.2059, logits_fake -0.2100,
Train Epoch: [1/5] Iters:[610/20018] gen_loss 0.3315, rec_loss 0.0340, lpips_loss 0.2975, g_loss 0.2080, disc_weight 0.0000, disc_adaptive_weight 3.3599, d_loss 0.0000, logits_real -0.2043, logits_fake -0.2093,
Train Epoch: [1/5] Iters:[620/20018] gen_loss 0.3307, rec_loss 0.0340, lpips_loss 0.2967, g_loss 0.2091, disc_weight 0.0000, disc_adaptive_weight 3.4995, d_loss 0.0000, logits_real -0.2045, logits_fake -0.2096,
Train Epoch: [1/5] Iters:[630/20018] gen_loss 0.3294, rec_loss 0.0338, lpips_loss 0.2955, g_loss 0.2113, disc_weight 0.0000, disc_adaptive_weight 3.5913, d_loss 0.0000, logits_real -0.2066, logits_fake -0.2116,
Train Epoch: [1/5] Iters:[640/20018] gen_loss 0.3285, rec_loss 0.0336, lpips_loss 0.2950, g_loss 0.2139, disc_weight 0.0000, disc_adaptive_weight 3.4886, d_loss 0.0000, logits_real -0.2078, logits_fake -0.2136,
Train Epoch: [1/5] Iters:[650/20018] gen_loss 0.3280, rec_loss 0.0338, lpips_loss 0.2942, g_loss 0.2122, disc_weight 0.0000, disc_adaptive_weight 3.5526, d_loss 0.0000, logits_real -0.2089, logits_fake -0.2130,
