Train Epoch: [1/5] Iters:[420/20018] gen_loss 0.1436, rec_loss 0.0287, lpips_loss 0.1874, g_loss -0.0314, disc_weight 0.5000, disc_adaptive_weight 2.3232, d_loss 0.6251, logits_real 0.0329, logits_fake 0.0314,
Train Epoch: [1/5] Iters:[430/20018] gen_loss 0.1413, rec_loss 0.0280, lpips_loss 0.1872, g_loss -0.0306, disc_weight 0.5000, disc_adaptive_weight 2.4303, d_loss 0.6217, logits_real 0.0322, logits_fake 0.0306,
Train Epoch: [1/5] Iters:[440/20018] gen_loss 0.1387, rec_loss 0.0282, lpips_loss 0.1874, g_loss -0.0299, disc_weight 0.5000, disc_adaptive_weight 2.5830, d_loss 0.6184, logits_real 0.0313, logits_fake 0.0301,
Train Epoch: [1/5] Iters:[450/20018] gen_loss 0.1447, rec_loss 0.0283, lpips_loss 0.1890, g_loss -0.0291, disc_weight 0.5000, disc_adaptive_weight 2.5086, d_loss 0.6160, logits_real 0.0304, logits_fake 0.0294,
Train Epoch: [1/5] Iters:[460/20018] gen_loss 0.1456, rec_loss 0.0285, lpips_loss 0.1886, g_loss -0.0286, disc_weight 0.5000, disc_adaptive_weight 2.5091, d_loss 0.6130, logits_real 0.0295, logits_fake 0.0287,
Train Epoch: [1/5] Iters:[470/20018] gen_loss 0.1498, rec_loss 0.0287, lpips_loss 0.1904, g_loss -0.0278, disc_weight 0.5000, disc_adaptive_weight 2.4828, d_loss 0.6104, logits_real 0.0288, logits_fake 0.0280,
Train Epoch: [1/5] Iters:[480/20018] gen_loss 0.1496, rec_loss 0.0285, lpips_loss 0.1906, g_loss -0.0274, disc_weight 0.5000, disc_adaptive_weight 2.5383, d_loss 0.6079, logits_real 0.0282, logits_fake 0.0274,
Train Epoch: [1/5] Iters:[490/20018] gen_loss 0.1551, rec_loss 0.0279, lpips_loss 0.1895, g_loss -0.0266, disc_weight 0.5000, disc_adaptive_weight 2.3461, d_loss 0.6043, logits_real 0.0274, logits_fake 0.0265,
Train Epoch: [1/5] Iters:[500/20018] gen_loss 0.1558, rec_loss 0.0281, lpips_loss 0.1890, g_loss -0.0260, disc_weight 0.5000, disc_adaptive_weight 2.3596, d_loss 0.6010, logits_real 0.0268, logits_fake 0.0259,
Train Epoch: [1/5] Iters:[510/20018] gen_loss 0.1557, rec_loss 0.0281, lpips_loss 0.1895, g_loss -0.0253, disc_weight 0.5000, disc_adaptive_weight 2.4426, d_loss 0.5991, logits_real 0.0262, logits_fake 0.0253,
Train Epoch: [1/5] Iters:[520/20018] gen_loss 0.1582, rec_loss 0.0281, lpips_loss 0.1876, g_loss -0.0248, disc_weight 0.5000, disc_adaptive_weight 2.3037, d_loss 0.5961, logits_real 0.0258, logits_fake 0.0246,
